,time,character,quote,location,description,Sentiment
245,245,Felipe,"Oh, I'm so jumpy, my nerves are shot!",HEADQUARTERS,STRANGE NOISES from outside. Headlights cast shadows on the wall. Riley looks scared.,0
246,246,Diane,"Ew, I don't want to hear about your nerves!",HEADQUARTERS,STRANGE NOISES from outside. Headlights cast shadows on the wall. Riley looks scared.,0
247,247,Angelo,I'll tell you what it is. This move has been a bust.,HEADQUARTERS,STRANGE NOISES from outside. Headlights cast shadows on the wall. Riley looks scared.,0
248,248,Felipe,That's what I've been telling you guys! There are at least 37 things for Riley to be scared of right now!,HEADQUARTERS,STRANGE NOISES from outside. Headlights cast shadows on the wall. Riley looks scared.,0
249,249,Diane,The smell alone is enough to make her gag.,HEADQUARTERS,STRANGE NOISES from outside. Headlights cast shadows on the wall. Riley looks scared.,0
250,250,Angelo,I can't believe Mom and Dad moved us here!,HEADQUARTERS,STRANGE NOISES from outside. Headlights cast shadows on the wall. Riley looks scared.,0
251,251,Joyce,"Look, I get it. You guys have concerns. But we've been through worse! Tell you what: let's make a list of all the things Riley should be HAPPY about!",HEADQUARTERS,STRANGE NOISES from outside. Headlights cast shadows on the wall. Riley looks scared.,0
252,252,Angelo,"Fine. Let's see... this house stinks, our room stinks...",HEADQUARTERS,STRANGE NOISES from outside. Headlights cast shadows on the wall. Riley looks scared.,0
253,253,Diane,Pizza is weird here...,HEADQUARTERS,STRANGE NOISES from outside. Headlights cast shadows on the wall. Riley looks scared.,-1
254,254,Sandra,Our friends are back home...,HEADQUARTERS,STRANGE NOISES from outside. Headlights cast shadows on the wall. Riley looks scared.,0
255,255,Felipe,And all of our stuff is in the missing van!,HEADQUARTERS,STRANGE NOISES from outside. Headlights cast shadows on the wall. Riley looks scared.,0
256,256,Joyce,"Oh c'mon, it could be worse...",HEADQUARTERS,STRANGE NOISES from outside. Headlights cast shadows on the wall. Riley looks scared.,0
257,257,Diane,"Yeah, Joyce. We could be lying on the dirty floor. In a bag.",HEADQUARTERS,STRANGE NOISES from outside. Headlights cast shadows on the wall. Riley looks scared.,-2
258,258,Joyce,"Okay, I admit it, we had a rough start. But think of all the good things that--",HEADQUARTERS,Riley is lying on the dirty floor in a sleeping bag.,0
259,259,Angelo,"No, Joyce. There's absolutely no reason for Riley to be happy right now. Let us handle this.",HEADQUARTERS,Riley is lying on the dirty floor in a sleeping bag.,2
260,260,Felipe,I say we skip school tomorrow and lock ourselves in the bedroom.,HEADQUARTERS,Riley is lying on the dirty floor in a sleeping bag.,0
261,261,Diane,"We have no clean clothes. I mean, no one should see us.",HEADQUARTERS,Riley is lying on the dirty floor in a sleeping bag.,1
262,262,Sandra,"Yeah, we could cry until we can't breathe.",HEADQUARTERS,Riley is lying on the dirty floor in a sleeping bag.,-1
263,263,Angelo,We should lock the door and scream that curse word we know. It's a good one!,HEADQUARTERS,Riley is lying on the dirty floor in a sleeping bag.,-1
264,264,Joyce,"Now hold on! Look, we all have our off days. You know, I--",HEADQUARTERS,Riley is lying on the dirty floor in a sleeping bag.,0
265,265,MOM,Hi honey.,HEADQUARTERS,ON THE SCREEN: Mom opens Riley's bedroom door.,0
266,266,Angelo,The Mom Bad News Train is pulling in! Toot toot!,HEADQUARTERS,ON THE SCREEN: Mom opens Riley's bedroom door.,0
267,267,MOM,"Still no moving van. Now they're saying it won't be here 'til Tuesday, can you believe it?",SAN FRANCISCO HOUSE,Mom sits next to Riley.,0
268,268,Angelo,Toot toot toot!,HEADQUARTERS,Mom sits next to Riley.,0
269,269,RILEY,Where's Dad?,SAN FRANCISCO HOUSE,Mom sits next to Riley.,0
270,270,MOM,"On the phone. This new venture is keeping him pretty busy. Your dad's a little stressed -- you know, about getting his new company up and running...",SAN FRANCISCO HOUSE,Mom sits next to Riley.,1
271,271,Angelo,I rest my case!,HEADQUARTERS,Mom sits next to Riley.,0
272,272,Angelo,Now for a few well-placed withering scowls.,HEADQUARTERS,Joyce sighs. She falls back from the controls.  Angelo steps up to the console.,0
273,273,MOM,I guess all I really want to say is: thank you.,SAN FRANCISCO HOUSE,Joyce sighs. She falls back from the controls.  Angelo steps up to the console.,1
274,274,Angelo,Huh?,HEADQUARTERS,Joyce sighs. She falls back from the controls.  Angelo steps up to the console.,0
275,275,MOM,"You know, through all this confusion you've stayed... well, you've stayed our happy girl!",SAN FRANCISCO HOUSE,Angelo drops the controls.,0
276,276,MOM,"Your dad's under a lot of pressure. But if you and I can keep smiling, it would be a big help. We can do that for him, right?",SAN FRANCISCO HOUSE,Mom brushes Riley's cheek.,0
277,277,Joyce,Whoa! Well.,HEADQUARTERS,"Joyce, smiling with renewed purpose, steps back to the console.",0
278,278,RILEY,(smiles) Yeah! Sure.,SAN FRANCISCO HOUSE,"Joyce, smiling with renewed purpose, steps back to the console.",0
279,279,MOM,What did we do to deserve you? (kisses Riley) Sweet dreams.,SAN FRANCISCO HOUSE,"Joyce, smiling with renewed purpose, steps back to the console.",0
280,280,RILEY,Good night.,SAN FRANCISCO HOUSE,"Joyce, smiling with renewed purpose, steps back to the console.",0
281,281,Angelo,"Well, you can't argue with Mom. Happy it is.",HEADQUARTERS,"Joyce, smiling with renewed purpose, steps back to the console.",0
282,282,Felipe,Team Happy!  Sounds great!,HEADQUARTERS,"Joyce, smiling with renewed purpose, steps back to the console.",0
283,283,Diane,"I'm totally behind you, Joyce.",HEADQUARTERS,"Joyce, smiling with renewed purpose, steps back to the console.",0
284,284,Joyce,"Looks like we're going into REM. I got Dream Duty, so I'll take care of sending these to Long Term. Great day today, guys! Sleep well TEAM HAPPY!",HEADQUARTERS,The screen goes black.,2
285,285,Joyce,"Alright, what's on tonight, Dream Production?",HEADQUARTERS,The team heads off to bed. Harp music plays.,0
286,286,DAD,"Well, this is it. The new place.",HEADQUARTERS,ON THE SCREEN: a DREAM COMES UP. The family FLIES happily through the air in the car. They land in front of the house--,0
287,287,MOUSE,"Come live with me, Riley!",HEADQUARTERS,-- except it's haunted! Organ music. Ghosts howling. The dead mouse rises up into frame.,0
288,288,PIZZA BEAR,Somebody order a broccoli pizza?,HEADQUARTERS,"The mouse falls over, dead. A bear enters, holding a pizza.",0
289,289,PIZZA SLICE,Eat me! I'm organic!,HEADQUARTERS,The pizza slices hop up and dance a jig.,0
290,290,Joyce,"Ah, NO, who is in charge of programming down there?! I know I'm not supposed to do this, but...",HEADQUARTERS,Riley frowns in her sleep.,0
291,291,Joyce,We are not going to end the day like this.,HEADQUARTERS,Riley still looks troubled.,1
292,292,Joyce,Don't you worry. I'm gonna make sure that tomorrow is another great day. I promise.,HEADQUARTERS,"Joyce has a thought.  She recalls a memory. ON THE SCREEN: Riley ice skates with her parents. Joyce watches, loving this kid. She shadows Riley, skating around headquarters.",1
293,293,Joyce,Hello! Did I wake you?,HEADQUARTERS,"Joyce plays the accordion around Headquarters. The others appear, looking grumpy. Joyce yells over the noise.",0
294,294,Angelo,DO you have to play that?,HEADQUARTERS,"Joyce plays the accordion around Headquarters. The others appear, looking grumpy. Joyce yells over the noise.",0
295,295,Joyce,"Well, I have to practice. And I don't think of it as playing so much as hugging.",HEADQUARTERS,"Joyce plays the accordion around Headquarters. The others appear, looking grumpy. Joyce yells over the noise.",0
296,296,Joyce,"Okay, first day of school! Very, very exciting! I was up late last night figuring out a new plan. Here it is. (to Felipe) Felipe! I need a list of all the possible negative outcomes on the first day at a new school.",HEADQUARTERS,She tosses aside the accordion and runs off.,-1
297,297,Felipe,Way ahead of you there. Does anyone know how to spell meteor?,HEADQUARTERS,She tosses aside the accordion and runs off.,0
298,298,Joyce,Diane! Make sure Riley stands out today... but also blends in.,HEADQUARTERS,She tosses aside the accordion and runs off.,0
299,299,Diane,"When I'm through, Riley will look so good the other kids will look at their own outfits and barf.",HEADQUARTERS,She tosses aside the accordion and runs off.,1
300,300,Joyce,"(addressing herself) Joyce! Yes Joyce? You'll be in charge of the console, keeping Riley happy all day long. And may I add I love your dress, it's adorable. Oh, This ol' thing? Thank you so much, I love the way it twirls...",HEADQUARTERS,She tosses aside the accordion and runs off.,3
301,301,Joyce,Train of Thought! Right on schedule.,HEADQUARTERS,TOOT TOOT! A TRAIN rushes by outside.,0
302,302,Joyce,Angelo! Unload the daydreams. I ordered extra in case things get slow in class.,HEADQUARTERS,The engineer waves from the cab and drops off a large bag.,-1
303,303,Angelo,"Might come in handy, if this new school is full of boring useless classes, which it probably will be...",HEADQUARTERS,The engineer waves from the cab and drops off a large bag.,-2
304,304,Joyce,Oh - Sandra! I have a super important job just for you.,HEADQUARTERS,Sandra walks by. Joyce stops her.,2
305,305,Sandra,Really?,HEADQUARTERS,Sandra walks by. Joyce stops her.,0
306,306,Joyce,Mmm-hmmm. Follow me.,HEADQUARTERS,Sandra walks by. Joyce stops her.,0
307,307,Sandra,What are you doing?,THE BACK OF THE ROOM,Joyce draws a chalk circle on the floor around Sandra's feet.,0
308,308,Joyce,(finishing the circle) And... there. Perfect. This is the circle of Sandra. Your job is to make sure that all the Sandra stays inside of it.,THE BACK OF THE ROOM,Joyce draws a chalk circle on the floor around Sandra's feet.,0
309,309,Sandra,So... you want me to just stand here?,THE BACK OF THE ROOM,Joyce draws a chalk circle on the floor around Sandra's feet.,0
310,310,Joyce,"Hey, it's not MY place to tell you how to do your job. Just make sure-- (nudging Sandra' foot back over the line) --ALL the Sandra stays in the circle.",THE BACK OF THE ROOM,Joyce draws a chalk circle on the floor around Sandra's feet.,0
311,311,Joyce,See? You're a pro at this! Isn't this fun?!,THE BACK OF THE ROOM,Sandra stands there.,0
312,312,Sandra,No.,THE BACK OF THE ROOM,Sandra stands there.,0
313,313,Joyce,"(heading to the console) Atta girl. Alright everyone, fresh start! We are gonna to have a good day, which will turn into a good week, which will turn into a good year, which turns into a good LIFE!",THE BACK OF THE ROOM,Sandra stands there.,5
314,314,MOM,"So, the big day! New school, new friends, huh?",SAN FRANCISCO HOUSE,Mom helps Riley on with her backpack. Dad is on the phone.,0
315,315,RILEY,"I know! I'm kinda nervous, but I'm mostly excited! How do I look? Do you like my shirt?",SAN FRANCISCO HOUSE,Mom helps Riley on with her backpack. Dad is on the phone.,1
316,316,MOM,Very cute! You gonna be okay? You want us to walk with you?,SAN FRANCISCO HOUSE,"Joyce looks back at Family Island, working away.",0
317,317,Diane,Mom and Dad? With us in public? No thank you.,HEADQUARTERS,"Joyce looks back at Family Island, working away.",1
318,318,Joyce,(operating console) I'm on it.,HEADQUARTERS,"Joyce looks back at Family Island, working away.",0
319,319,RILEY,"Nope, I'm fine. Bye Mom! Bye Dad!",SAN FRANCISCO HOUSE,"Joyce looks back at Family Island, working away.",0
320,320,DAD,"(covering phone) Have a good day at school, Monkey!",SAN FRANCISCO HOUSE,"Joyce looks back at Family Island, working away.",1
321,321,MOM,"Have a great day, sweetheart.",SAN FRANCISCO HOUSE,Riley giggles as she exits.,1
322,322,Felipe,Are you sure we want to do this?,EXT. SCHOOL - MORNING,Riley walks up to her new school. New kids everywhere. She hesitates.,0
323,323,Joyce,In we go!,EXT. SCHOOL - MORNING,Riley walks up to her new school. New kids everywhere. She hesitates.,0
324,324,Felipe,Okayyy! Going in! Yes.,EXT. SCHOOL - MORNING,Riley walks up to her new school. New kids everywhere. She hesitates.,0
325,325,Diane,"Okay, we've got a group of cool girls at 2 o'clock.",CLASSROOM,Riley sits at her desk and looks at the other kids in class.,1
326,326,Joyce,How do you know?,HEADQUARTERS,Riley sits at her desk and looks at the other kids in class.,0
327,327,Diane,"Double ears pierced, infinity scarf...",HEADQUARTERS,Riley sits at her desk and looks at the other kids in class.,0
328,328,Joyce,Whoa. Is she wearing eye shadow?,HEADQUARTERS,A group of makeup-wearing girls look back at Riley.,0
329,329,Diane,"Yeah, we want to be friends with them.",HEADQUARTERS,A group of makeup-wearing girls look back at Riley.,0
330,330,Joyce,Let's go talk to 'em!,HEADQUARTERS,A group of makeup-wearing girls look back at Riley.,0
331,331,Diane,"Are you kidding?? We're not TALKING to them, we want them to like us.",HEADQUARTERS,A group of makeup-wearing girls look back at Riley.,1
332,332,Joyce,"Oh! (then) Wait, what?",HEADQUARTERS,A group of makeup-wearing girls look back at Riley.,0
333,333,Felipe,"(drops a giant stack of paper on the console) Almost finished with the potential disasters. Worst scenario is either quicksand, spontaneous combustion, or getting called on by the teacher. So as long as none of those happen...",HEADQUARTERS,A group of makeup-wearing girls look back at Riley.,1
334,334,TEACHER,"Okay, everybody. We have a new student in class today.",CLASSROOM,A group of makeup-wearing girls look back at Riley.,0
335,335,Felipe,Are you kidding me?! Out of the gate? This is not happening!,HEADQUARTERS,A group of makeup-wearing girls look back at Riley.,0
336,336,TEACHER,Riley would you like to tell us something about yourself?,CLASSROOM,A group of makeup-wearing girls look back at Riley.,1
337,337,Felipe,Nooooooo! Pretend we can't speak English!,HEADQUARTERS,A group of makeup-wearing girls look back at Riley.,0
338,338,Joyce,Don't worry. I got this.,HEADQUARTERS,A group of makeup-wearing girls look back at Riley.,0
339,339,RILEY,Uhh... okay. My name is Riley Andersen. I'm from Minnesota. And now I live here.,CLASSROOM,Joyce pushes a lever.,0
340,340,TEACHER,And how about Minnesota?... Can you tell us something about it? Well you certainly get a lot more snow than we do.,CLASSROOM,Joyce pushes a lever.,0
341,341,Joyce,(laughs) She's hilarious!,HEADQUARTERS,Joyce pushes a lever.,0
342,342,RILEY,"Yeah, it gets pretty cold. The lake freezes over, and that's when we play hockey. I'm on a great team. We're called the Prairie Dogs. My friend Meg plays forward. My Dad's the coach. Pretty much everyone in my family skates.",CLASSROOM,"Riley smiles, in spite of all the eyes on her.",1
343,343,RILEY,It's a kind of family tradition. We go out on the lake almost every weekend.,CLASSROOM,"Riley watches the memory, smiling.",0
344,344,RILEY,"Or we did, 'til I moved away.",CLASSROOM,"Riley's smile fades, her brow furrows.",0
345,345,Felipe,"Huh?/Hey, what gives?/What?",HEADQUARTERS,"Confused, Joyce looks around.",0
348,348,Joyce,Hey--,HEADQUARTERS,"Confused, Joyce looks around.",0
349,349,Joyce,Sandra! You touched a memory?! We talked about this.,HEADQUARTERS,"She spots Sandra, who is guiltily touching the memory.",0
350,350,Sandra,"Oh yeah, I know. I'm sorry.",HEADQUARTERS,"She spots Sandra, who is guiltily touching the memory.",0
351,351,Joyce,Get back in your circle. (trying to eject memory) Gnnh! What's going on? Why won't it eject?!!,HEADQUARTERS,"She spots Sandra, who is guiltily touching the memory.",0
352,352,Felipe,"Get it out of there, Joyce!",HEADQUARTERS,"She fiddles with the console, but the blue memory won't move.",0
353,353,RILEY,(sniffling) We used to play tag and stuff...,CLASSROOM,"She fiddles with the console, but the blue memory won't move.",0
354,354,Diane,Cool kids whispering at 3 o'clock!,HEADQUARTERS,"She fiddles with the console, but the blue memory won't move.",0
355,355,Felipe,Did you see that look?!? They're judging us!,HEADQUARTERS,The other kids whisper and stare.,0
356,356,Joyce,Oh no.,HEADQUARTERS,The other kids whisper and stare.,0
357,357,Joyce,Somebody help me. Grab that... everybody...,HEADQUARTERS,"Joyce tries pulling the memory. Angelo, Felipe and Diane help.",0
358,358,RILEY,But everything's different now. Since we moved...,CLASSROOM,"They pull with all their might, but the memory's not budging.",0
359,359,Felipe,Oh no! We're CRYING AT SCHOOL!!!,HEADQUARTERS,TEARS stream down Riley's face.,0
360,360,Joyce,"What? No! Sandra, what are you doing?",HEADQUARTERS,Joyce turns to the console. Sandra IS DRIVING.,0
361,361,Sandra,"Oh no, I'm sorry... I... oh...",HEADQUARTERS,Joyce finally yanks the memory out. She runs to the console and pulls Sandra away from the controls.,0
362,362,Joyce,Huh?,HEADQUARTERS,PING! A memory is created. BRIGHT BLUE.,0
363,363,Angelo,Whoa!,HEADQUARTERS,PING! A memory is created. BRIGHT BLUE.,0
364,364,Felipe,It's a core memory!,HEADQUARTERS,PING! A memory is created. BRIGHT BLUE.,0
365,365,Diane,But it's blue!,HEADQUARTERS,PING! A memory is created. BRIGHT BLUE.,0
366,366,Joyce,No wait... stop it! No! Ahh!,HEADQUARTERS,The bright blue core memory rolls through the memory shelf and STARTS TOWARDS THE CORE MEMORY HOLDER!,0
367,367,Sandra,"(trying to take her memory back from Joyce) Joyce, no. That's a core memory, Joyce!",HEADQUARTERS,"Joyce leaps to the holder and pops it open, preventing the new blue core memory from going in. Joyce grabs it. She pushes the end-of-day memory flush button. The tube comes down from the ceiling.",0
368,368,Joyce,Hey! Stop it. Let go.,HEADQUARTERS,"Joyce leaps to the holder and pops it open, preventing the new blue core memory from going in. Joyce grabs it. She pushes the end-of-day memory flush button. The tube comes down from the ceiling.",0
369,369,Felipe,Ahh!,HEADQUARTERS,"As they struggle, they bump into the Core Memory Holder, KNOCKING ALL OF THE CORE MEMORIES OUT onto the floor.",0
372,372,Felipe,The core memories!,HEADQUARTERS,"As they struggle, they bump into the Core Memory Holder, KNOCKING ALL OF THE CORE MEMORIES OUT onto the floor.",0
373,373,Joyce,Ahh!,HEADQUARTERS,"Riley, her face tear-stained, looks up.",0
374,374,Joyce,"No, no, no, no!",HEADQUARTERS,"Joyce tosses the blue core memory aside to collect the yellow core memories. Sandra grabs the blue core memory and heads to the Core Memory Holder to plug it in. Joyce lunges, knocking the blue core memory out of Sandra's hands. It's SUCKED UP the vacuum tube. Joyce trips backward. In the chaos a yellow core memory rolls toward the tube.",0
375,375,TEACHER,"Thank you, Riley. I know it can be tough moving to a new place, but we're happy to have you here. Alright everyone, get out your history books and turn to chapter seven.",CLASSROOM,Riley sits and wipes her tears.,2
376,376,Angelo,Can I say that curse word now?,HEADQUARTERS,Riley hides behind her book.,-1
377,377,Joyce,"Oh no... (gathering memories) One, two, three... okay, got 'em. Wha-- where are we?",LONG-TERM MEMORY,Joyce lands in a bin of memories. Sandra crashes next to her.,0
378,378,Joyce,Long-Term Memory...!,LONG-TERM MEMORY,Joyce takes in the shelving around her.,0
379,379,Joyce,Goofball Island.,LONG-TERM MEMORY,"Joyce grabs the core memories and jumps out of the dumpster. She sees GOOFBALL ISLAND, silent and dark.",0
380,380,Sandra,Hoh... Riley's Islands of Personality. They're ALL down! This is bad.,LONG-TERM MEMORY,Joyce surveys the islands beyond. They're all dark.,0
381,381,Joyce,"We-- we can fix this. We just have to get back to Headquarters, plug the core memories in, and Riley will be back to normal.",LONG-TERM MEMORY,Joyce surveys the islands beyond. They're all dark.,0
382,382,Sandra,"Riley has no core memories, no personality islands and no-- (gasp)",LONG-TERM MEMORY,Joyce and Sandra hurry towards headquarters.,0
383,383,Joyce,Wha-- What is it?,LONG-TERM MEMORY,Joyce and Sandra hurry towards headquarters.,0
384,384,Sandra,"You! YOU'RE not in headquarters. Without you, Riley can't be happy. We gotta get you back up there.",LONG-TERM MEMORY,Joyce and Sandra hurry towards headquarters.,0
385,385,Joyce,"I'm coming, Riley.",LONG-TERM MEMORY,Joyce and Sandra hurry towards headquarters.,0
386,386,MOM,"So as it turns out the green trash can is not recycling, it's for greens. Like compost. And eggshells.",SAN FRANCISCO HOUSE,Riley and her parents eat dinner.,-1
387,387,DAD,(not really listening) Mmm.,SAN FRANCISCO HOUSE,Riley and her parents eat dinner.,0
388,388,MOM,And the blue one is recycling. And the black one is trash.,SAN FRANCISCO HOUSE,Riley and her parents eat dinner.,0
389,389,Diane,Riley is acting so weird. Why is she acting so weird?,HEADQUARTERS,Riley pushes food around on her plate.,0
390,390,Angelo,What do you expect? All the islands are down.,HEADQUARTERS,Riley pushes food around on her plate.,0
391,391,Diane,Joyce would know what to do.,HEADQUARTERS,Riley pushes food around on her plate.,0
392,392,Felipe,"That's it! Until she gets back, we just do what Joyce would do!",HEADQUARTERS,Riley pushes food around on her plate.,0
393,393,Diane,"Great idea! Angelo, Felipe, Diane. How are WE supposed to be happy?",HEADQUARTERS,Riley pushes food around on her plate.,0
394,394,MOM,"Hey, Riley. I've got good news!",HEADQUARTERS,Riley pushes food around on her plate.,1
395,395,MOM,"I found a junior hockey league right here in San Francisco. And get this: try-outs are tomorrow after school. What luck, right?",SAN FRANCISCO HOUSE,Riley pushes food around on her plate.,1
396,396,Angelo,Hockey?,HEADQUARTERS,Riley pushes food around on her plate.,0
397,397,Diane,Uh-oh. What do we do?,HEADQUARTERS,Riley pushes food around on her plate.,0
398,398,Felipe,"Guys, uh, this... Here, you pretend to be Joyce.",HEADQUARTERS,Riley pushes food around on her plate.,-1
399,399,MOM,Won't it be great to be back out on the ice?,ON THE SCREEN:,Felipe pushes Diane forward. She steps up to drive.,1
400,400,RILEY,"(sarcastic) Oh yeah, that sounds fantastic.",SAN FRANCISCO HOUSE,Felipe pushes Diane forward. She steps up to drive.,0
401,401,Felipe,What was that? That wasn't anything like Joyce.,HEADQUARTERS,Felipe pushes Diane forward. She steps up to drive.,1
402,402,Diane,"Uh, because I'm NOT Joyce.",HEADQUARTERS,Felipe pushes Diane forward. She steps up to drive.,0
403,403,Felipe,"Yeah, no kidding.",HEADQUARTERS,Felipe pushes Diane forward. She steps up to drive.,0
404,404,MOM'S Sandra,Did you guys pick up on that?,MOM'S HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head...",0
405,405,MOM'S Angelo,Uh-huh.,MOM'S HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head...",0
406,406,MOM'S Joyce,Oh yeah/Definitely.,MOM'S HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head...",0
409,409,MOM'S Diane,Something's wrong.,MOM'S HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head...",0
410,410,MOM'S Angelo,Should we ask her?,MOM'S HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head...",0
411,411,MOM'S Sandra,"Let's probe. But keep it subtle, so she doesn't notice.",MOM'S HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head...",0
412,412,MOM,So! How was the first day of school?,SAN FRANCISCO HOUSE,"Mom, taken aback, eyes Riley. Zoom in to Mom's head...",0
413,413,Angelo,She's probing us.,HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head...",0
414,414,Diane,I'm done. (to Felipe) YOU pretend to be Joyce.,HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head...",-1
415,415,Felipe,What? Uh... okay... hmm.,HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head...",0
416,416,RILEY,"(nervous) It was fine, I guess, I don't know.",SAN FRANCISCO HOUSE,"Mom, taken aback, eyes Riley. Zoom in to Mom's head...",0
417,417,Diane,"Oh, very smooth, that was JUST like Joyce.",HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head...",1
418,418,MOM'S Angelo,Something's definitely going on.,MOM'S HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head...",0
419,419,MOM'S Diane,She's never acted like this before. What should we do?,MOM'S HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head...",1
420,420,MOM'S Sandra,We're going to find out what's happening. But we'll need support. Signal the husband.,MOM'S HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head...",0
421,421,SPORTS ANNOUNCER,"...with a nice pass over to Reeves, he comes across center ice...",DAD'S HEADQUARTERS,"All of Dad's emotions are watching a HOCKEY MATCH, cheering.",1
422,422,DAD'S Angelo,Uh-oh. She's looking at us. (turns off the memory) What did she say?,DAD'S HEADQUARTERS,"Again Mom stares, clears her throat. Dad looks up, clueless.",0
423,423,DAD'S Felipe,"What? Uh, sorry, Sir. No one was listening.",DAD'S HEADQUARTERS,"Again Mom stares, clears her throat. Dad looks up, clueless.",0
424,424,DAD'S Angelo,"Is it garbage night? We left the toilet seat up? What? What is it, woman, what?!?",DAD'S HEADQUARTERS,"Again Mom stares, clears her throat. Dad looks up, clueless.",-1
425,425,MOM'S Diane,(re: Dad on the screen) He's making that stupid face again.,MOM'S HEADQUARTERS,"Again Mom stares, clears her throat. Dad looks up, clueless.",-1
426,426,MOM'S Angelo,I could strangle him right now!,MOM'S HEADQUARTERS,"Again Mom stares, clears her throat. Dad looks up, clueless.",0
427,427,MOM'S Sandra,Signal him again.,MOM'S HEADQUARTERS,"Again Mom stares, clears her throat. Dad looks up, clueless.",0
428,428,DAD,"Ahh, so, Riley! How was school?",SAN FRANCISCO HOUSE,Mom raises her eyebrows and tilts her head towards Riley. Dad finally gets it.,0
429,429,MOM'S Joyce,You gotta be kidding me!/He really needs to start paying attention./ Is he paying attention at all?,MOM'S HEADQUARTERS,Mom's Emotions give up.,0
433,433,MOM'S Angelo,For THIS we gave up that Brazilian helicopter pilot?,MOM'S HEADQUARTERS,Mom's Emotions give up.,0
434,434,Angelo,Move! I'LL be Joyce.,HEADQUARTERS,Mom's Emotions give up.,0
435,435,RILEY,"(snarky) School was great, alright?",SAN FRANCISCO HOUSE,Mom's Emotions give up.,0
436,436,MOM,"Riley, is everything okay?",SAN FRANCISCO HOUSE,Mom's Emotions give up.,0
437,437,DAD'S Felipe,"Sir, she just rolled her eyes at us.",DAD'S HEADQUARTERS,Riley rolls her eyes.,0
438,438,DAD'S Angelo,"What is her deal? Alright, make a show of force. I don't want to have to put the Foot down.",DAD'S HEADQUARTERS,Riley rolls her eyes.,0
439,439,DAD'S Felipe,No. Not the Foot.,DAD'S HEADQUARTERS,Riley rolls her eyes.,0
440,440,DAD,"Riley, I do NOT like this new attitude.",SAN FRANCISCO HOUSE,Riley rolls her eyes.,1
441,441,Angelo,"Oh I'll show you attitude, old man.",HEADQUARTERS,Riley rolls her eyes.,0
442,442,Felipe,"No, no, no! Stay happy!",HEADQUARTERS,Riley rolls her eyes.,0
443,443,RILEY,What is your problem? Just leave me alone.,SAN FRANCISCO HOUSE,Angelo shoves him away and hits a button.,0
444,444,DAD'S Felipe,Sir! Reporting high levels of sass!,DAD'S HEADQUARTERS,Angelo shoves him away and hits a button.,0
445,445,DAD'S Angelo,Take it to DEFCON 2.,DAD'S HEADQUARTERS,Angelo shoves him away and hits a button.,0
446,446,DAD'S Felipe,"You heard that, gentleman. DEFCON 2.",DAD'S HEADQUARTERS,Sirens begin to BLARE.,0
447,447,DAD,"Listen young lady, I don't know where this disrespectful attitude came from...",SAN FRANCISCO HOUSE,Sirens begin to BLARE.,-1
448,448,Angelo,"You want a piece of this, Pops? Come and get it!",HEADQUARTERS,Sirens begin to BLARE.,0
449,449,RILEY,"Yeah, well... well...",SAN FRANCISCO HOUSE,Angelo grasps two levers with all his might.,0
450,450,DAD'S Angelo,Here it comes... Prepare the Foot!,DAD'S HEADQUARTERS,Angelo grasps two levers with all his might.,0
451,451,DAD'S Felipe,"Keys to safety position! Ready to launch on your command, Sir!",DAD'S HEADQUARTERS,"Dad's Emotions uncover Launch Station buttons, insert keys.",0
452,452,RILEY,Just SHUT UP!,SAN FRANCISCO HOUSE,"Angelo, flames and yell at full blast, pushes up the levers.",0
453,453,DAD'S Angelo,FIRE!,DAD'S HEADQUARTERS,Dad and Mom are shocked.,0
454,454,DAD,"That's it, go to your room! Now!",SAN FRANCISCO HOUSE,Dad and Mom are shocked.,0
455,455,DAD'S Felipe,The Foot is down! The Foot is down!,DAD'S HEADQUARTERS,Riley pushes away from the table and goes upstairs in a huff.,0
456,456,DAD'S Angelo,Good job gentlemen. That could have been a disaster.,DAD'S HEADQUARTERS,They all CHEER.,0
457,457,MOM'S Sandra,"Well, that was a disaster.",MOM'S HEADQUARTERS,They all CHEER.,0
458,458,HELICOPTER PILOT,"Come fly with me, gatinha.",MOM'S HEADQUARTERS,Mom's Angelo recalls a memory: the Brazilian helicopter pilot.,0
459,459,Sandra,We're gonna walk out there? On that?,MIND WORLD,"In the distance, Family Island RUMBLES. Joyce and Sandra have made it across Goofball Island and must now walk across the thin lightline. Below is the darkness of the Memory Dump.",0
