time,scene_number,scene_name,character,quote,location,description,dialogue_act_type
294,2,Riley's First Day,Angelo,DO you have to play that?,HEADQUARTERS,"Joyce plays the accordion around Headquarters. The others appear, looking grumpy. Joyce yells over the noise.",ynQuestion
295,2,Riley's First Day,Joyce,"Well, I have to practice. And I don't think of it as playing so much as hugging.",HEADQUARTERS,"Joyce plays the accordion around Headquarters. The others appear, looking grumpy. Joyce yells over the noise.",Reject
296,2,Riley's First Day,Joyce,"Okay, first day of school! Very, very exciting! I was up late last night figuring out a new plan. Here it is. (to Felipe) Felipe! I need a list of all the possible negative outcomes on the first day at a new school.",HEADQUARTERS,She tosses aside the accordion and runs off.,Emphasis
297,2,Riley's First Day,Felipe,Way ahead of you there. Does anyone know how to spell meteor?,HEADQUARTERS,She tosses aside the accordion and runs off.,ynQuestion
298,2,Riley's First Day,Joyce,Diane! Make sure Riley stands out today... but also blends in.,HEADQUARTERS,She tosses aside the accordion and runs off.,Statement
299,2,Riley's First Day,Diane,"When I'm through, Riley will look so good the other kids will look at their own outfits and barf.",HEADQUARTERS,She tosses aside the accordion and runs off.,Statement
300,2,Riley's First Day,Joyce,"(addressing herself) Joyce! Yes Joyce? You'll be in charge of the console, keeping Riley happy all day long. And may I add I love your dress, it's adorable. Oh, This ol' thing? Thank you so much, I love the way it twirls...",HEADQUARTERS,She tosses aside the accordion and runs off.,Clarify
301,2,Riley's First Day,Joyce,Train of Thought! Right on schedule.,HEADQUARTERS,TOOT TOOT! A TRAIN rushes by outside.,Emphasis
302,2,Riley's First Day,Joyce,Angelo! Unload the daydreams. I ordered extra in case things get slow in class.,HEADQUARTERS,The engineer waves from the cab and drops off a large bag.,Emphasis
303,2,Riley's First Day,Angelo,"Might come in handy, if this new school is full of boring useless classes, which it probably will be...",HEADQUARTERS,The engineer waves from the cab and drops off a large bag.,Other
304,2,Riley's First Day,Joyce,Oh - Sandra! I have a super important job just for you.,HEADQUARTERS,Sandra walks by. Joyce stops her.,Reject
305,2,Riley's First Day,Sandra,Really?,HEADQUARTERS,Sandra walks by. Joyce stops her.,ynQuestion
306,2,Riley's First Day,Joyce,Mmm-hmmm. Follow me.,HEADQUARTERS,Sandra walks by. Joyce stops her.,Statement
307,2,Riley's First Day,Sandra,What are you doing?,THE BACK OF THE ROOM,Joyce draws a chalk circle on the floor around Sandra's feet.,whQuestion
308,2,Riley's First Day,Joyce,(finishing the circle) And... there. Perfect. This is the circle of Sandra. Your job is to make sure that all the Sandra stays inside of it.,THE BACK OF THE ROOM,Joyce draws a chalk circle on the floor around Sandra's feet.,Clarify
309,2,Riley's First Day,Sandra,So... you want me to just stand here?,THE BACK OF THE ROOM,Joyce draws a chalk circle on the floor around Sandra's feet.,ynQuestion
310,2,Riley's First Day,Joyce,"Hey, it's not MY place to tell you how to do your job. Just make sure-- (nudging Sandra' foot back over the line) --ALL the Sandra stays in the circle.",THE BACK OF THE ROOM,Joyce draws a chalk circle on the floor around Sandra's feet.,Clarify
311,2,Riley's First Day,Joyce,See? You're a pro at this! Isn't this fun?!,THE BACK OF THE ROOM,Sandra stands there.,ynQuestion
312,2,Riley's First Day,Sandra,No.,THE BACK OF THE ROOM,Sandra stands there.,Statement
313,2,Riley's First Day,Joyce,"(heading to the console) Atta girl. Alright everyone, fresh start! We are gonna to have a good day, which will turn into a good week, which will turn into a good year, which turns into a good LIFE!",THE BACK OF THE ROOM,Sandra stands there.,Clarify
314,2,Riley's First Day,MOM,"So, the big day! New school, new friends, huh?",SAN FRANCISCO HOUSE,Mom helps Riley on with her backpack. Dad is on the phone.,Emphasis
315,2,Riley's First Day,RILEY,"I know! I'm kinda nervous, but I'm mostly excited! How do I look? Do you like my shirt?",SAN FRANCISCO HOUSE,Mom helps Riley on with her backpack. Dad is on the phone.,whQuestion
316,2,Riley's First Day,MOM,Very cute! You gonna be okay? You want us to walk with you?,SAN FRANCISCO HOUSE,"Joyce looks back at Family Island, working away.",ynQuestion
317,2,Riley's First Day,Diane,Mom and Dad? With us in public? No thank you.,HEADQUARTERS,"Joyce looks back at Family Island, working away.",nAnswer
318,2,Riley's First Day,Joyce,(operating console) I'm on it.,HEADQUARTERS,"Joyce looks back at Family Island, working away.",Statement
319,2,Riley's First Day,RILEY,"Nope, I'm fine. Bye Mom! Bye Dad!",SAN FRANCISCO HOUSE,"Joyce looks back at Family Island, working away.",nAnswer
320,2,Riley's First Day,DAD,"(covering phone) Have a good day at school, Monkey!",SAN FRANCISCO HOUSE,"Joyce looks back at Family Island, working away.",Emphasis
321,2,Riley's First Day,MOM,"Have a great day, sweetheart.",SAN FRANCISCO HOUSE,Riley giggles as she exits.,Statement
322,2,Riley's First Day,Felipe,Are you sure we want to do this?,EXT. SCHOOL - MORNING,Riley walks up to her new school. New kids everywhere. She hesitates.,ynQuestion
323,2,Riley's First Day,Joyce,In we go!,EXT. SCHOOL - MORNING,Riley walks up to her new school. New kids everywhere. She hesitates.,Emphasis
324,2,Riley's First Day,Felipe,Okayyy! Going in! Yes.,EXT. SCHOOL - MORNING,Riley walks up to her new school. New kids everywhere. She hesitates.,yAnswer
325,2,Riley's First Day,Diane,"Okay, we've got a group of cool girls at 2 o'clock.",CLASSROOM,Riley sits at her desk and looks at the other kids in class.,Other
326,2,Riley's First Day,Joyce,How do you know?,HEADQUARTERS,Riley sits at her desk and looks at the other kids in class.,whQuestion
327,2,Riley's First Day,Diane,"Double ears pierced, infinity scarf...",HEADQUARTERS,Riley sits at her desk and looks at the other kids in class.,yAnswer
328,2,Riley's First Day,Joyce,Whoa. Is she wearing eye shadow?,HEADQUARTERS,A group of makeup-wearing girls look back at Riley.,Other
329,2,Riley's First Day,Diane,"Yeah, we want to be friends with them.",HEADQUARTERS,A group of makeup-wearing girls look back at Riley.,Statement
330,2,Riley's First Day,Joyce,Let's go talk to 'em!,HEADQUARTERS,A group of makeup-wearing girls look back at Riley.,Emphasis
331,2,Riley's First Day,Diane,"Are you kidding?? We're not TALKING to them, we want them to like us.",HEADQUARTERS,A group of makeup-wearing girls look back at Riley.,Reject
332,2,Riley's First Day,Joyce,"Oh! (then) Wait, what?",HEADQUARTERS,A group of makeup-wearing girls look back at Riley.,whQuestion
333,2,Riley's First Day,Felipe,"(drops a giant stack of paper on the console) Almost finished with the potential disasters. Worst scenario is either quicksand, spontaneous combustion, or getting called on by the teacher. So as long as none of those happen...",HEADQUARTERS,A group of makeup-wearing girls look back at Riley.,Other
334,2,Riley's First Day,TEACHER,"Okay, everybody. We have a new student in class today.",CLASSROOM,A group of makeup-wearing girls look back at Riley.,Other
335,2,Riley's First Day,Felipe,Are you kidding me?! Out of the gate? This is not happening!,HEADQUARTERS,A group of makeup-wearing girls look back at Riley.,ynQuestion
336,2,Riley's First Day,TEACHER,Riley would you like to tell us something about yourself?,CLASSROOM,A group of makeup-wearing girls look back at Riley.,whQuestion
337,2,Riley's First Day,Felipe,Nooooooo! Pretend we can't speak English!,HEADQUARTERS,A group of makeup-wearing girls look back at Riley.,Reject
338,2,Riley's First Day,Joyce,Don't worry. I got this.,HEADQUARTERS,A group of makeup-wearing girls look back at Riley.,Statement
339,2,Riley's First Day,RILEY,Uhh... okay. My name is Riley Andersen. I'm from Minnesota. And now I live here.,CLASSROOM,Joyce pushes a lever.,Statement
340,2,Riley's First Day,TEACHER,And how about Minnesota?... Can you tell us something about it? Well you certainly get a lot more snow than we do.,CLASSROOM,Joyce pushes a lever.,Emphasis
341,2,Riley's First Day,Joyce,(laughs) She's hilarious!,HEADQUARTERS,Joyce pushes a lever.,Clarify
342,2,Riley's First Day,RILEY,"Yeah, it gets pretty cold. The lake freezes over, and that's when we play hockey. I'm on a great team. We're called the Prairie Dogs. My friend Meg plays forward. My Dad's the coach. Pretty much everyone in my family skates.",CLASSROOM,"Riley smiles, in spite of all the eyes on her.",Clarify
343,2,Riley's First Day,RILEY,It's a kind of family tradition. We go out on the lake almost every weekend.,CLASSROOM,"Riley watches the memory, smiling.",Clarify
344,2,Riley's First Day,RILEY,"Or we did, 'til I moved away.",CLASSROOM,"Riley's smile fades, her brow furrows.",Statement
345,2,Riley's First Day,Felipe,"Huh?/Hey, what gives?/What?",HEADQUARTERS,"Confused, Joyce looks around.",whQuestion
346,2,Riley's First Day,Diane,"Huh?/Hey, what gives?/What?",HEADQUARTERS,"Confused, Joyce looks around.",whQuestion
347,2,Riley's First Day,Angelo,"Huh?/Hey, what gives?/What?",HEADQUARTERS,"Confused, Joyce looks around.",whQuestion
348,2,Riley's First Day,Joyce,Hey--,HEADQUARTERS,"Confused, Joyce looks around.",Greet
349,2,Riley's First Day,Joyce,Sandra! You touched a memory?! We talked about this.,HEADQUARTERS,"She spots Sandra, who is guiltily touching the memory.",Emphasis
350,2,Riley's First Day,Sandra,"Oh yeah, I know. I'm sorry.",HEADQUARTERS,"She spots Sandra, who is guiltily touching the memory.",Statement
351,2,Riley's First Day,Joyce,Get back in your circle. (trying to eject memory) Gnnh! What's going on? Why won't it eject?!!,HEADQUARTERS,"She spots Sandra, who is guiltily touching the memory.",Emphasis
352,2,Riley's First Day,Felipe,"Get it out of there, Joyce!",HEADQUARTERS,"She fiddles with the console, but the blue memory won't move.",Emphasis
353,2,Riley's First Day,RILEY,(sniffling) We used to play tag and stuff...,CLASSROOM,"She fiddles with the console, but the blue memory won't move.",Statement
354,2,Riley's First Day,Diane,Cool kids whispering at 3 o'clock!,HEADQUARTERS,"She fiddles with the console, but the blue memory won't move.",Emphasis
355,2,Riley's First Day,Felipe,Did you see that look?!? They're judging us!,HEADQUARTERS,The other kids whisper and stare.,ynQuestion
356,2,Riley's First Day,Joyce,Oh no.,HEADQUARTERS,The other kids whisper and stare.,Reject
357,2,Riley's First Day,Joyce,Somebody help me. Grab that... everybody...,HEADQUARTERS,"Joyce tries pulling the memory. Angelo, Felipe and Diane help.",Reject
358,2,Riley's First Day,RILEY,But everything's different now. Since we moved...,CLASSROOM,"They pull with all their might, but the memory's not budging.",Clarify
359,2,Riley's First Day,Felipe,Oh no! We're CRYING AT SCHOOL!!!,HEADQUARTERS,TEARS stream down Riley's face.,Emphasis
360,2,Riley's First Day,Joyce,"What? No! Sandra, what are you doing?",HEADQUARTERS,Joyce turns to the console. Sandra IS DRIVING.,whQuestion
361,2,Riley's First Day,Sandra,"Oh no, I'm sorry... I... oh...",HEADQUARTERS,Joyce finally yanks the memory out. She runs to the console and pulls Sandra away from the controls.,Statement
362,2,Riley's First Day,Joyce,Huh?,HEADQUARTERS,PING! A memory is created. BRIGHT BLUE.,ynQuestion
363,2,Riley's First Day,Angelo,Whoa!,HEADQUARTERS,PING! A memory is created. BRIGHT BLUE.,Emphasis
364,2,Riley's First Day,Felipe,It's a core memory!,HEADQUARTERS,PING! A memory is created. BRIGHT BLUE.,Emphasis
365,2,Riley's First Day,Diane,But it's blue!,HEADQUARTERS,PING! A memory is created. BRIGHT BLUE.,Statement
366,2,Riley's First Day,Joyce,No wait... stop it! No! Ahh!,HEADQUARTERS,The bright blue core memory rolls through the memory shelf and STARTS TOWARDS THE CORE MEMORY HOLDER!,Reject
367,2,Riley's First Day,Sandra,"(trying to take her memory back from Joyce) Joyce, no. That's a core memory, Joyce!",HEADQUARTERS,"Joyce leaps to the holder and pops it open, preventing the new blue core memory from going in. Joyce grabs it. She pushes the end-of-day memory flush button. The tube comes down from the ceiling.",Emphasis
368,2,Riley's First Day,Joyce,Hey! Stop it. Let go.,HEADQUARTERS,"Joyce leaps to the holder and pops it open, preventing the new blue core memory from going in. Joyce grabs it. She pushes the end-of-day memory flush button. The tube comes down from the ceiling.",Reject
369,2,Riley's First Day,Felipe,Ahh!,HEADQUARTERS,"As they struggle, they bump into the Core Memory Holder, KNOCKING ALL OF THE CORE MEMORIES OUT onto the floor.",Emphasis
370,2,Riley's First Day,Diane,Ahh!,HEADQUARTERS,"As they struggle, they bump into the Core Memory Holder, KNOCKING ALL OF THE CORE MEMORIES OUT onto the floor.",Emphasis
371,2,Riley's First Day,Angelo,Ahh!,HEADQUARTERS,"As they struggle, they bump into the Core Memory Holder, KNOCKING ALL OF THE CORE MEMORIES OUT onto the floor.",Emphasis
372,2,Riley's First Day,Felipe,The core memories!,HEADQUARTERS,"As they struggle, they bump into the Core Memory Holder, KNOCKING ALL OF THE CORE MEMORIES OUT onto the floor.",Emphasis
373,2,Riley's First Day,Joyce,Ahh!,HEADQUARTERS,"Riley, her face tear-stained, looks up.",Emphasis
374,2,Riley's First Day,Joyce,"No, no, no, no!",HEADQUARTERS,"Joyce tosses the blue core memory aside to collect the yellow core memories. Sandra grabs the blue core memory and heads to the Core Memory Holder to plug it in. Joyce lunges, knocking the blue core memory out of Sandra's hands. It's SUCKED UP the vacuum tube. Joyce trips backward. In the chaos a yellow core memory rolls toward the tube.",Reject
375,2,Riley's First Day,TEACHER,"Thank you, Riley. I know it can be tough moving to a new place, but we're happy to have you here. Alright everyone, get out your history books and turn to chapter seven.",CLASSROOM,Riley sits and wipes her tears.,nAnswer
376,2,Riley's First Day,Angelo,Can I say that curse word now?,HEADQUARTERS,Riley hides behind her book.,ynQuestion
377,2,Riley's First Day,Joyce,"Oh no... (gathering memories) One, two, three... okay, got 'em. Wha-- where are we?",LONG-TERM MEMORY,Joyce lands in a bin of memories. Sandra crashes next to her.,Other
378,2,Riley's First Day,Joyce,Long-Term Memory...!,LONG-TERM MEMORY,Joyce takes in the shelving around her.,Emphasis
379,2,Riley's First Day,Joyce,Goofball Island.,LONG-TERM MEMORY,"Joyce grabs the core memories and jumps out of the dumpster. She sees GOOFBALL ISLAND, silent and dark.",Statement
380,2,Riley's First Day,Sandra,Hoh... Riley's Islands of Personality. They're ALL down! This is bad.,LONG-TERM MEMORY,Joyce surveys the islands beyond. They're all dark.,Statement
381,2,Riley's First Day,Joyce,"We-- we can fix this. We just have to get back to Headquarters, plug the core memories in, and Riley will be back to normal.",LONG-TERM MEMORY,Joyce surveys the islands beyond. They're all dark.,Reject
382,2,Riley's First Day,Sandra,"Riley has no core memories, no personality islands and no-- (gasp)",LONG-TERM MEMORY,Joyce and Sandra hurry towards headquarters.,nAnswer
383,2,Riley's First Day,Joyce,Wha-- What is it?,LONG-TERM MEMORY,Joyce and Sandra hurry towards headquarters.,whQuestion
384,2,Riley's First Day,Sandra,"You! YOU'RE not in headquarters. Without you, Riley can't be happy. We gotta get you back up there.",LONG-TERM MEMORY,Joyce and Sandra hurry towards headquarters.,Reject
385,2,Riley's First Day,Joyce,"I'm coming, Riley.",LONG-TERM MEMORY,Joyce and Sandra hurry towards headquarters.,Statement
386,3,Dinner Argument,MOM,"So as it turns out the green trash can is not recycling, it's for greens. Like compost. And eggshells.",SAN FRANCISCO HOUSE,Riley and her parents eat dinner.,Reject
387,3,Dinner Argument,DAD,(not really listening) Mmm.,SAN FRANCISCO HOUSE,Riley and her parents eat dinner.,Clarify
388,3,Dinner Argument,MOM,And the blue one is recycling. And the black one is trash.,SAN FRANCISCO HOUSE,Riley and her parents eat dinner.,Statement
389,3,Dinner Argument,Diane,Riley is acting so weird. Why is she acting so weird?,HEADQUARTERS,Riley pushes food around on her plate.,whQuestion
390,3,Dinner Argument,Angelo,What do you expect? All the islands are down.,HEADQUARTERS,Riley pushes food around on her plate.,whQuestion
391,3,Dinner Argument,Diane,Joyce would know what to do.,HEADQUARTERS,Riley pushes food around on her plate.,Statement
392,3,Dinner Argument,Felipe,"That's it! Until she gets back, we just do what Joyce would do!",HEADQUARTERS,Riley pushes food around on her plate.,Emphasis
393,3,Dinner Argument,Diane,"Great idea! Angelo, Felipe, Diane. How are WE supposed to be happy?",HEADQUARTERS,Riley pushes food around on her plate.,Emphasis
394,3,Dinner Argument,MOM,"Hey, Riley. I've got good news!",HEADQUARTERS,Riley pushes food around on her plate.,Emphasis
395,3,Dinner Argument,MOM,"I found a junior hockey league right here in San Francisco. And get this: try-outs are tomorrow after school. What luck, right?",SAN FRANCISCO HOUSE,Riley pushes food around on her plate.,nAnswer
396,3,Dinner Argument,Angelo,Hockey?,HEADQUARTERS,Riley pushes food around on her plate.,ynQuestion
397,3,Dinner Argument,Diane,Uh-oh. What do we do?,HEADQUARTERS,Riley pushes food around on her plate.,whQuestion
398,3,Dinner Argument,Felipe,"Guys, uh, this... Here, you pretend to be Joyce.",HEADQUARTERS,Riley pushes food around on her plate.,Reject
399,3,Dinner Argument,MOM,Won't it be great to be back out on the ice?,ON THE SCREEN:,Felipe pushes Diane forward. She steps up to drive.,Statement
400,3,Dinner Argument,RILEY,"(sarcastic) Oh yeah, that sounds fantastic.",SAN FRANCISCO HOUSE,Felipe pushes Diane forward. She steps up to drive.,Accept
401,3,Dinner Argument,Felipe,What was that? That wasn't anything like Joyce.,HEADQUARTERS,Felipe pushes Diane forward. She steps up to drive.,whQuestion
402,3,Dinner Argument,Diane,"Uh, because I'm NOT Joyce.",HEADQUARTERS,Felipe pushes Diane forward. She steps up to drive.,Reject
403,3,Dinner Argument,Felipe,"Yeah, no kidding.",HEADQUARTERS,Felipe pushes Diane forward. She steps up to drive.,nAnswer
404,3,Dinner Argument,MOM'S Sandra,Did you guys pick up on that?,MOM'S HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head...",ynQuestion
405,3,Dinner Argument,MOM'S Angelo,Uh-huh.,MOM'S HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head...",System
406,3,Dinner Argument,MOM'S Joyce,Oh yeah/Definitely.,MOM'S HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head...",Statement
407,3,Dinner Argument,MOM'S Felipe,Oh yeah/Definitely.,MOM'S HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head...",Statement
408,3,Dinner Argument,MOM'S Diane,Oh yeah/Definitely.,MOM'S HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head...",Statement
409,3,Dinner Argument,MOM'S Diane,Something's wrong.,MOM'S HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head...",Statement
410,3,Dinner Argument,MOM'S Angelo,Should we ask her?,MOM'S HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head...",whQuestion
411,3,Dinner Argument,MOM'S Sandra,"Let's probe. But keep it subtle, so she doesn't notice.",MOM'S HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head...",Reject
412,3,Dinner Argument,MOM,So! How was the first day of school?,SAN FRANCISCO HOUSE,"Mom, taken aback, eyes Riley. Zoom in to Mom's head...",whQuestion
413,3,Dinner Argument,Angelo,She's probing us.,HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head...",Statement
414,3,Dinner Argument,Diane,I'm done. (to Felipe) YOU pretend to be Joyce.,HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head...",Statement
415,3,Dinner Argument,Felipe,What? Uh... okay... hmm.,HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head...",Reject
416,3,Dinner Argument,RILEY,"(nervous) It was fine, I guess, I don't know.",SAN FRANCISCO HOUSE,"Mom, taken aback, eyes Riley. Zoom in to Mom's head...",Statement
417,3,Dinner Argument,Diane,"Oh, very smooth, that was JUST like Joyce.",HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head...",Statement
418,3,Dinner Argument,MOM'S Angelo,Something's definitely going on.,MOM'S HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head...",Statement
419,3,Dinner Argument,MOM'S Diane,She's never acted like this before. What should we do?,MOM'S HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head...",whQuestion
420,3,Dinner Argument,MOM'S Sandra,We're going to find out what's happening. But we'll need support. Signal the husband.,MOM'S HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head...",Reject
421,3,Dinner Argument,SPORTS ANNOUNCER,"...with a nice pass over to Reeves, he comes across center ice...",DAD'S HEADQUARTERS,"All of Dad's emotions are watching a HOCKEY MATCH, cheering.",nAnswer
422,3,Dinner Argument,DAD'S Angelo,Uh-oh. She's looking at us. (turns off the memory) What did she say?,DAD'S HEADQUARTERS,"Again Mom stares, clears her throat. Dad looks up, clueless.",Clarify
423,3,Dinner Argument,DAD'S Felipe,"What? Uh, sorry, Sir. No one was listening.",DAD'S HEADQUARTERS,"Again Mom stares, clears her throat. Dad looks up, clueless.",Reject
424,3,Dinner Argument,DAD'S Angelo,"Is it garbage night? We left the toilet seat up? What? What is it, woman, what?!?",DAD'S HEADQUARTERS,"Again Mom stares, clears her throat. Dad looks up, clueless.",whQuestion
425,3,Dinner Argument,MOM'S Diane,(re: Dad on the screen) He's making that stupid face again.,MOM'S HEADQUARTERS,"Again Mom stares, clears her throat. Dad looks up, clueless.",Clarify
426,3,Dinner Argument,MOM'S Angelo,I could strangle him right now!,MOM'S HEADQUARTERS,"Again Mom stares, clears her throat. Dad looks up, clueless.",Emphasis
427,3,Dinner Argument,MOM'S Sandra,Signal him again.,MOM'S HEADQUARTERS,"Again Mom stares, clears her throat. Dad looks up, clueless.",Statement
428,3,Dinner Argument,DAD,"Ahh, so, Riley! How was school?",SAN FRANCISCO HOUSE,Mom raises her eyebrows and tilts her head towards Riley. Dad finally gets it.,whQuestion
429,3,Dinner Argument,MOM'S Joyce,You gotta be kidding me!/He really needs to start paying attention./ Is he paying attention at all?,MOM'S HEADQUARTERS,Mom's Emotions give up.,Emphasis
430,3,Dinner Argument,MOM'S Sandra,You gotta be kidding me!/He really needs to start paying attention./ Is he paying attention at all?,MOM'S HEADQUARTERS,Mom's Emotions give up.,Emphasis
431,3,Dinner Argument,MOM'S Felipe,You gotta be kidding me!/He really needs to start paying attention./ Is he paying attention at all?,MOM'S HEADQUARTERS,Mom's Emotions give up.,Emphasis
432,3,Dinner Argument,MOM'S Diane,You gotta be kidding me!/He really needs to start paying attention./ Is he paying attention at all?,MOM'S HEADQUARTERS,Mom's Emotions give up.,Emphasis
433,3,Dinner Argument,MOM'S Angelo,For THIS we gave up that Brazilian helicopter pilot?,MOM'S HEADQUARTERS,Mom's Emotions give up.,whQuestion
434,3,Dinner Argument,Angelo,Move! I'LL be Joyce.,HEADQUARTERS,Mom's Emotions give up.,Statement
435,3,Dinner Argument,RILEY,"(snarky) School was great, alright?",SAN FRANCISCO HOUSE,Mom's Emotions give up.,Other
436,3,Dinner Argument,MOM,"Riley, is everything okay?",SAN FRANCISCO HOUSE,Mom's Emotions give up.,whQuestion
437,3,Dinner Argument,DAD'S Felipe,"Sir, she just rolled her eyes at us.",DAD'S HEADQUARTERS,Riley rolls her eyes.,Other
438,3,Dinner Argument,DAD'S Angelo,"What is her deal? Alright, make a show of force. I don't want to have to put the Foot down.",DAD'S HEADQUARTERS,Riley rolls her eyes.,nAnswer
439,3,Dinner Argument,DAD'S Felipe,No. Not the Foot.,DAD'S HEADQUARTERS,Riley rolls her eyes.,Reject
440,3,Dinner Argument,DAD,"Riley, I do NOT like this new attitude.",SAN FRANCISCO HOUSE,Riley rolls her eyes.,Statement
441,3,Dinner Argument,Angelo,"Oh I'll show you attitude, old man.",HEADQUARTERS,Riley rolls her eyes.,Statement
442,3,Dinner Argument,Felipe,"No, no, no! Stay happy!",HEADQUARTERS,Riley rolls her eyes.,Emphasis
443,3,Dinner Argument,RILEY,What is your problem? Just leave me alone.,SAN FRANCISCO HOUSE,Angelo shoves him away and hits a button.,whQuestion
444,3,Dinner Argument,DAD'S Felipe,Sir! Reporting high levels of sass!,DAD'S HEADQUARTERS,Angelo shoves him away and hits a button.,Emphasis
445,3,Dinner Argument,DAD'S Angelo,Take it to DEFCON 2.,DAD'S HEADQUARTERS,Angelo shoves him away and hits a button.,Statement
446,3,Dinner Argument,DAD'S Felipe,"You heard that, gentleman. DEFCON 2.",DAD'S HEADQUARTERS,Sirens begin to BLARE.,Reject
447,3,Dinner Argument,DAD,"Listen young lady, I don't know where this disrespectful attitude came from...",SAN FRANCISCO HOUSE,Sirens begin to BLARE.,nAnswer
448,3,Dinner Argument,Angelo,"You want a piece of this, Pops? Come and get it!",HEADQUARTERS,Sirens begin to BLARE.,Emphasis
449,3,Dinner Argument,RILEY,"Yeah, well... well...",SAN FRANCISCO HOUSE,Angelo grasps two levers with all his might.,Statement
450,3,Dinner Argument,DAD'S Angelo,Here it comes... Prepare the Foot!,DAD'S HEADQUARTERS,Angelo grasps two levers with all his might.,Emphasis
451,3,Dinner Argument,DAD'S Felipe,"Keys to safety position! Ready to launch on your command, Sir!",DAD'S HEADQUARTERS,"Dad's Emotions uncover Launch Station buttons, insert keys.",Emphasis
452,3,Dinner Argument,RILEY,Just SHUT UP!,SAN FRANCISCO HOUSE,"Angelo, flames and yell at full blast, pushes up the levers.",Reject
453,3,Dinner Argument,DAD'S Angelo,FIRE!,DAD'S HEADQUARTERS,Dad and Mom are shocked.,Emphasis
454,3,Dinner Argument,DAD,"That's it, go to your room! Now!",SAN FRANCISCO HOUSE,Dad and Mom are shocked.,Emphasis
455,3,Dinner Argument,DAD'S Felipe,The Foot is down! The Foot is down!,DAD'S HEADQUARTERS,Riley pushes away from the table and goes upstairs in a huff.,Emphasis
456,3,Dinner Argument,DAD'S Angelo,Good job gentlemen. That could have been a disaster.,DAD'S HEADQUARTERS,They all CHEER.,Statement
457,3,Dinner Argument,MOM'S Sandra,"Well, that was a disaster.",MOM'S HEADQUARTERS,They all CHEER.,Statement
458,3,Dinner Argument,HELICOPTER PILOT,"Come fly with me, gatinha.",MOM'S HEADQUARTERS,Mom's Angelo recalls a memory: the Brazilian helicopter pilot.,Statement
459,4,Try to escape from Long-Term Memory,Sandra,We're gonna walk out there? On that?,MIND WORLD,"In the distance, Family Island RUMBLES. Joyce and Sandra have made it across Goofball Island and must now walk across the thin lightline. Below is the darkness of the Memory Dump.",ynQuestion
460,4,Try to escape from Long-Term Memory,Joyce,It's the quickest way back.,MIND WORLD,"In the distance, Family Island RUMBLES. Joyce and Sandra have made it across Goofball Island and must now walk across the thin lightline. Below is the darkness of the Memory Dump.",Statement
461,4,Try to escape from Long-Term Memory,Sandra,But it's right over the Memory Dump. If we fall we'll be forgotten forever!,MIND WORLD,"In the distance, Family Island RUMBLES. Joyce and Sandra have made it across Goofball Island and must now walk across the thin lightline. Below is the darkness of the Memory Dump.",Clarify
462,4,Try to escape from Long-Term Memory,Joyce,We have to do this. For Riley. Just follow my footsteps.,MIND WORLD,"In the distance, Family Island RUMBLES. Joyce and Sandra have made it across Goofball Island and must now walk across the thin lightline. Below is the darkness of the Memory Dump.",Statement
463,4,Try to escape from Long-Term Memory,Sandra,Hohh... ok.,MIND WORLD,"In the distance, Family Island RUMBLES. Joyce and Sandra have made it across Goofball Island and must now walk across the thin lightline. Below is the darkness of the Memory Dump.",Statement
464,4,Try to escape from Long-Term Memory,Joyce,(stepping onto lightline) It's not that high. It's totally fiii... Whoa...,MIND WORLD,"In the distance, Family Island RUMBLES. Joyce and Sandra have made it across Goofball Island and must now walk across the thin lightline. Below is the darkness of the Memory Dump.",Clarify
465,4,Try to escape from Long-Term Memory,DAD,Hey.,SAN FRANCISCO HOUSE,"Dad knocks on Riley's door, peeks in.",Greet
466,4,Try to escape from Long-Term Memory,DAD,"So uh, things got a little out of hand downstairs.  You want to talk about it? (still no answer) Come on. Where's my happy girl? Monkey. (he tries monkey noises)",SAN FRANCISCO HOUSE,Riley's in her sleeping bag. She doesn't answer.,Clarify
467,4,Try to escape from Long-Term Memory,Angelo,He's trying to start up Goofball.,HEADQUARTERS,Riley's in her sleeping bag. She doesn't answer.,Statement
