time,character,quote,location,description
232,Joyce,"Well have you read this one? This seems interesting: Long-Term Memory Retrieval, Volume 47?",HEADQUARTERS,She drags Sandra over to a shelf of technical manuals.
233,Sandra,No.,HEADQUARTERS,She drags Sandra over to a shelf of technical manuals.
234,Joyce,Ohhh! A real page turner!,HEADQUARTERS,She drags Sandra over to a shelf of technical manuals.
235,Sandra,(opens manual; reads) Long-Term Memory Data Selection via channel sub-grouping?,HEADQUARTERS,She drags Sandra over to a shelf of technical manuals.
236,Joyce,"See? Fun already! You lucky dog, you're reading these cool things and I gotta go work. Life is so unfair.",HEADQUARTERS,She drags Sandra over to a shelf of technical manuals.
237,DAD,"(on phone) What can we do? We've only got capital to last a month, maybe two. If we can't find investors by then, we're going to have to lay people off.",SAN FRANCISCO HOUSE,Riley hops down the stairs towards the living room.
238,RILEY,Mom! Dad! Come kiss me g'night!,SAN FRANCISCO HOUSE,Riley hears the stress in Dad's voice.
239,MOM,Be right there!,SAN FRANCISCO HOUSE,Riley hears the stress in Dad's voice.
240,DAD,"(on phone) I know, I know! We've got to land this, okay?",SAN FRANCISCO HOUSE,Riley hears the stress in Dad's voice.
241,Felipe,Did you hear Dad? He sounded really upset.,HEADQUARTERS,Riley climbs into her sleeping bag.
242,Felipe,What was that? Was it a bear? It's a bear!,HEADQUARTERS,STRANGE NOISES from outside. Headlights cast shadows on the wall. Riley looks scared.
243,Diane,There are no bears in San Francisco!,HEADQUARTERS,STRANGE NOISES from outside. Headlights cast shadows on the wall. Riley looks scared.
244,Angelo,I saw a really hairy guy. He looked like a bear.,HEADQUARTERS,STRANGE NOISES from outside. Headlights cast shadows on the wall. Riley looks scared.
245,Felipe,"Oh, I'm so jumpy, my nerves are shot!",HEADQUARTERS,STRANGE NOISES from outside. Headlights cast shadows on the wall. Riley looks scared.
246,Diane,"Ew, I don't want to hear about your nerves!",HEADQUARTERS,STRANGE NOISES from outside. Headlights cast shadows on the wall. Riley looks scared.
247,Angelo,I'll tell you what it is. This move has been a bust.,HEADQUARTERS,STRANGE NOISES from outside. Headlights cast shadows on the wall. Riley looks scared.
248,Felipe,That's what I've been telling you guys! There are at least 37 things for Riley to be scared of right now!,HEADQUARTERS,STRANGE NOISES from outside. Headlights cast shadows on the wall. Riley looks scared.
249,Diane,The smell alone is enough to make her gag.,HEADQUARTERS,STRANGE NOISES from outside. Headlights cast shadows on the wall. Riley looks scared.
250,Angelo,I can't believe Mom and Dad moved us here!,HEADQUARTERS,STRANGE NOISES from outside. Headlights cast shadows on the wall. Riley looks scared.
251,Joyce,"Look, I get it. You guys have concerns. But we've been through worse! Tell you what: let's make a list of all the things Riley should be HAPPY about!",HEADQUARTERS,STRANGE NOISES from outside. Headlights cast shadows on the wall. Riley looks scared.
252,Angelo,"Fine. Let's see... this house stinks, our room stinks...",HEADQUARTERS,STRANGE NOISES from outside. Headlights cast shadows on the wall. Riley looks scared.
253,Diane,Pizza is weird here...,HEADQUARTERS,STRANGE NOISES from outside. Headlights cast shadows on the wall. Riley looks scared.
254,Sandra,Our friends are back home...,HEADQUARTERS,STRANGE NOISES from outside. Headlights cast shadows on the wall. Riley looks scared.
255,Felipe,And all of our stuff is in the missing van!,HEADQUARTERS,STRANGE NOISES from outside. Headlights cast shadows on the wall. Riley looks scared.
256,Joyce,"Oh c'mon, it could be worse...",HEADQUARTERS,STRANGE NOISES from outside. Headlights cast shadows on the wall. Riley looks scared.
257,Diane,"Yeah, Joyce. We could be lying on the dirty floor. In a bag.",HEADQUARTERS,STRANGE NOISES from outside. Headlights cast shadows on the wall. Riley looks scared.
258,Joyce,"Okay, I admit it, we had a rough start. But think of all the good things that--",HEADQUARTERS,Riley is lying on the dirty floor in a sleeping bag.
259,Angelo,"No, Joyce. There's absolutely no reason for Riley to be happy right now. Let us handle this.",HEADQUARTERS,Riley is lying on the dirty floor in a sleeping bag.
260,Felipe,I say we skip school tomorrow and lock ourselves in the bedroom.,HEADQUARTERS,Riley is lying on the dirty floor in a sleeping bag.
261,Diane,"We have no clean clothes. I mean, no one should see us.",HEADQUARTERS,Riley is lying on the dirty floor in a sleeping bag.
262,Sandra,"Yeah, we could cry until we can't breathe.",HEADQUARTERS,Riley is lying on the dirty floor in a sleeping bag.
263,Angelo,We should lock the door and scream that curse word we know. It's a good one!,HEADQUARTERS,Riley is lying on the dirty floor in a sleeping bag.
264,Joyce,"Now hold on! Look, we all have our off days. You know, I--",HEADQUARTERS,Riley is lying on the dirty floor in a sleeping bag.
265,MOM,Hi honey.,HEADQUARTERS,ON THE SCREEN: Mom opens Riley's bedroom door.
266,Angelo,The Mom Bad News Train is pulling in! Toot toot!,HEADQUARTERS,ON THE SCREEN: Mom opens Riley's bedroom door.
267,MOM,"Still no moving van. Now they're saying it won't be here 'til Tuesday, can you believe it?",SAN FRANCISCO HOUSE,Mom sits next to Riley.
268,Angelo,Toot toot toot!,HEADQUARTERS,Mom sits next to Riley.
269,RILEY,Where's Dad?,SAN FRANCISCO HOUSE,Mom sits next to Riley.
270,MOM,"On the phone. This new venture is keeping him pretty busy. Your dad's a little stressed -- you know, about getting his new company up and running...",SAN FRANCISCO HOUSE,Mom sits next to Riley.
271,Angelo,I rest my case!,HEADQUARTERS,Mom sits next to Riley.
272,Angelo,Now for a few well-placed withering scowls.,HEADQUARTERS,Joyce sighs. She falls back from the controls.  Angelo steps up to the console.
273,MOM,I guess all I really want to say is: thank you.,SAN FRANCISCO HOUSE,Joyce sighs. She falls back from the controls.  Angelo steps up to the console.
274,Angelo,Huh?,HEADQUARTERS,Joyce sighs. She falls back from the controls.  Angelo steps up to the console.
275,MOM,"You know, through all this confusion you've stayed... well, you've stayed our happy girl!",SAN FRANCISCO HOUSE,Angelo drops the controls.
276,MOM,"Your dad's under a lot of pressure. But if you and I can keep smiling, it would be a big help. We can do that for him, right?",SAN FRANCISCO HOUSE,Mom brushes Riley's cheek.
277,Joyce,Whoa! Well.,HEADQUARTERS,"Joyce, smiling with renewed purpose, steps back to the console."
278,RILEY,(smiles) Yeah! Sure.,SAN FRANCISCO HOUSE,"Joyce, smiling with renewed purpose, steps back to the console."
279,MOM,What did we do to deserve you? (kisses Riley) Sweet dreams.,SAN FRANCISCO HOUSE,"Joyce, smiling with renewed purpose, steps back to the console."
280,RILEY,Good night.,SAN FRANCISCO HOUSE,"Joyce, smiling with renewed purpose, steps back to the console."
281,Angelo,"Well, you can't argue with Mom. Happy it is.",HEADQUARTERS,"Joyce, smiling with renewed purpose, steps back to the console."
282,Felipe,Team Happy!  Sounds great!,HEADQUARTERS,"Joyce, smiling with renewed purpose, steps back to the console."
283,Diane,"I'm totally behind you, Joyce.",HEADQUARTERS,"Joyce, smiling with renewed purpose, steps back to the console."
284,Joyce,"Looks like we're going into REM. I got Dream Duty, so I'll take care of sending these to Long Term. Great day today, guys! Sleep well TEAM HAPPY!",HEADQUARTERS,The screen goes black.
285,Joyce,"Alright, what's on tonight, Dream Production?",HEADQUARTERS,The team heads off to bed. Harp music plays.
286,DAD,"Well, this is it. The new place.",HEADQUARTERS,ON THE SCREEN: a DREAM COMES UP. The family FLIES happily through the air in the car. They land in front of the house--
287,MOUSE,"Come live with me, Riley!",HEADQUARTERS,-- except it's haunted! Organ music. Ghosts howling. The dead mouse rises up into frame.
288,PIZZA BEAR,Somebody order a broccoli pizza?,HEADQUARTERS,"The mouse falls over, dead. A bear enters, holding a pizza."
289,PIZZA SLICE,Eat me! I'm organic!,HEADQUARTERS,The pizza slices hop up and dance a jig.
290,Joyce,"Ah, NO, who is in charge of programming down there?! I know I'm not supposed to do this, but...",HEADQUARTERS,Riley frowns in her sleep.
291,Joyce,We are not going to end the day like this.,HEADQUARTERS,Riley still looks troubled.
292,Joyce,Don't you worry. I'm gonna make sure that tomorrow is another great day. I promise.,HEADQUARTERS,"Joyce has a thought.  She recalls a memory. ON THE SCREEN: Riley ice skates with her parents. Joyce watches, loving this kid. She shadows Riley, skating around headquarters."
293,Joyce,Hello! Did I wake you?,HEADQUARTERS,"Joyce plays the accordion around Headquarters. The others appear, looking grumpy. Joyce yells over the noise."
294,Angelo,DO you have to play that?,HEADQUARTERS,"Joyce plays the accordion around Headquarters. The others appear, looking grumpy. Joyce yells over the noise."
295,Joyce,"Well, I have to practice. And I don't think of it as playing so much as hugging.",HEADQUARTERS,"Joyce plays the accordion around Headquarters. The others appear, looking grumpy. Joyce yells over the noise."
296,Joyce,"Okay, first day of school! Very, very exciting! I was up late last night figuring out a new plan. Here it is. (to Felipe) Felipe! I need a list of all the possible negative outcomes on the first day at a new school.",HEADQUARTERS,She tosses aside the accordion and runs off.
297,Felipe,Way ahead of you there. Does anyone know how to spell meteor?,HEADQUARTERS,She tosses aside the accordion and runs off.
298,Joyce,Diane! Make sure Riley stands out today... but also blends in.,HEADQUARTERS,She tosses aside the accordion and runs off.
299,Diane,"When I'm through, Riley will look so good the other kids will look at their own outfits and barf.",HEADQUARTERS,She tosses aside the accordion and runs off.
300,Joyce,"(addressing herself) Joyce! Yes Joyce? You'll be in charge of the console, keeping Riley happy all day long. And may I add I love your dress, it's adorable. Oh, This ol' thing? Thank you so much, I love the way it twirls...",HEADQUARTERS,She tosses aside the accordion and runs off.
301,Joyce,Train of Thought! Right on schedule.,HEADQUARTERS,TOOT TOOT! A TRAIN rushes by outside.
302,Joyce,Angelo! Unload the daydreams. I ordered extra in case things get slow in class.,HEADQUARTERS,The engineer waves from the cab and drops off a large bag.
303,Angelo,"Might come in handy, if this new school is full of boring useless classes, which it probably will be...",HEADQUARTERS,The engineer waves from the cab and drops off a large bag.
304,Joyce,Oh - Sandra! I have a super important job just for you.,HEADQUARTERS,Sandra walks by. Joyce stops her.
305,Sandra,Really?,HEADQUARTERS,Sandra walks by. Joyce stops her.
306,Joyce,Mmm-hmmm. Follow me.,HEADQUARTERS,Sandra walks by. Joyce stops her.
307,Sandra,What are you doing?,THE BACK OF THE ROOM,Joyce draws a chalk circle on the floor around Sandra's feet.
308,Joyce,(finishing the circle) And... there. Perfect. This is the circle of Sandra. Your job is to make sure that all the Sandra stays inside of it.,THE BACK OF THE ROOM,Joyce draws a chalk circle on the floor around Sandra's feet.
309,Sandra,So... you want me to just stand here?,THE BACK OF THE ROOM,Joyce draws a chalk circle on the floor around Sandra's feet.
310,Joyce,"Hey, it's not MY place to tell you how to do your job. Just make sure-- (nudging Sandra' foot back over the line) --ALL the Sandra stays in the circle.",THE BACK OF THE ROOM,Joyce draws a chalk circle on the floor around Sandra's feet.
311,Joyce,See? You're a pro at this! Isn't this fun?!,THE BACK OF THE ROOM,Sandra stands there.
312,Sandra,No.,THE BACK OF THE ROOM,Sandra stands there.
313,Joyce,"(heading to the console) Atta girl. Alright everyone, fresh start! We are gonna to have a good day, which will turn into a good week, which will turn into a good year, which turns into a good LIFE!",THE BACK OF THE ROOM,Sandra stands there.
314,MOM,"So, the big day! New school, new friends, huh?",SAN FRANCISCO HOUSE,Mom helps Riley on with her backpack. Dad is on the phone.
315,RILEY,"I know! I'm kinda nervous, but I'm mostly excited! How do I look? Do you like my shirt?",SAN FRANCISCO HOUSE,Mom helps Riley on with her backpack. Dad is on the phone.
316,MOM,Very cute! You gonna be okay? You want us to walk with you?,SAN FRANCISCO HOUSE,"Joyce looks back at Family Island, working away."
317,Diane,Mom and Dad? With us in public? No thank you.,HEADQUARTERS,"Joyce looks back at Family Island, working away."
318,Joyce,(operating console) I'm on it.,HEADQUARTERS,"Joyce looks back at Family Island, working away."
319,RILEY,"Nope, I'm fine. Bye Mom! Bye Dad!",SAN FRANCISCO HOUSE,"Joyce looks back at Family Island, working away."
320,DAD,"(covering phone) Have a good day at school, Monkey!",SAN FRANCISCO HOUSE,"Joyce looks back at Family Island, working away."
321,MOM,"Have a great day, sweetheart.",SAN FRANCISCO HOUSE,Riley giggles as she exits.
322,Felipe,Are you sure we want to do this?,EXT. SCHOOL - MORNING,Riley walks up to her new school. New kids everywhere. She hesitates.
323,Joyce,In we go!,EXT. SCHOOL - MORNING,Riley walks up to her new school. New kids everywhere. She hesitates.
324,Felipe,Okayyy! Going in! Yes.,EXT. SCHOOL - MORNING,Riley walks up to her new school. New kids everywhere. She hesitates.
325,Diane,"Okay, we've got a group of cool girls at 2 o'clock.",CLASSROOM,Riley sits at her desk and looks at the other kids in class.
326,Joyce,How do you know?,HEADQUARTERS,Riley sits at her desk and looks at the other kids in class.
327,Diane,"Double ears pierced, infinity scarf...",HEADQUARTERS,Riley sits at her desk and looks at the other kids in class.
328,Joyce,Whoa. Is she wearing eye shadow?,HEADQUARTERS,A group of makeup-wearing girls look back at Riley.
329,Diane,"Yeah, we want to be friends with them.",HEADQUARTERS,A group of makeup-wearing girls look back at Riley.
330,Joyce,Let's go talk to 'em!,HEADQUARTERS,A group of makeup-wearing girls look back at Riley.
331,Diane,"Are you kidding?? We're not TALKING to them, we want them to like us.",HEADQUARTERS,A group of makeup-wearing girls look back at Riley.
332,Joyce,"Oh! (then) Wait, what?",HEADQUARTERS,A group of makeup-wearing girls look back at Riley.
333,Felipe,"(drops a giant stack of paper on the console) Almost finished with the potential disasters. Worst scenario is either quicksand, spontaneous combustion, or getting called on by the teacher. So as long as none of those happen...",HEADQUARTERS,A group of makeup-wearing girls look back at Riley.
334,TEACHER,"Okay, everybody. We have a new student in class today.",CLASSROOM,A group of makeup-wearing girls look back at Riley.
335,Felipe,Are you kidding me?! Out of the gate? This is not happening!,HEADQUARTERS,A group of makeup-wearing girls look back at Riley.
336,TEACHER,Riley would you like to tell us something about yourself?,CLASSROOM,A group of makeup-wearing girls look back at Riley.
337,Felipe,Nooooooo! Pretend we can't speak English!,HEADQUARTERS,A group of makeup-wearing girls look back at Riley.
338,Joyce,Don't worry. I got this.,HEADQUARTERS,A group of makeup-wearing girls look back at Riley.
339,RILEY,Uhh... okay. My name is Riley Andersen. I'm from Minnesota. And now I live here.,CLASSROOM,Joyce pushes a lever.
340,TEACHER,And how about Minnesota?... Can you tell us something about it? Well you certainly get a lot more snow than we do.,CLASSROOM,Joyce pushes a lever.
341,Joyce,(laughs) She's hilarious!,HEADQUARTERS,Joyce pushes a lever.
342,RILEY,"Yeah, it gets pretty cold. The lake freezes over, and that's when we play hockey. I'm on a great team. We're called the Prairie Dogs. My friend Meg plays forward. My Dad's the coach. Pretty much everyone in my family skates.",CLASSROOM,"Riley smiles, in spite of all the eyes on her."
343,RILEY,It's a kind of family tradition. We go out on the lake almost every weekend.,CLASSROOM,"Riley watches the memory, smiling."
344,RILEY,"Or we did, 'til I moved away.",CLASSROOM,"Riley's smile fades, her brow furrows."
345,Felipe,"Huh?/Hey, what gives?/What?",HEADQUARTERS,"Confused, Joyce looks around."
346,Diane,"Huh?/Hey, what gives?/What?",HEADQUARTERS,"Confused, Joyce looks around."
347,Angelo,"Huh?/Hey, what gives?/What?",HEADQUARTERS,"Confused, Joyce looks around."
348,Joyce,Hey--,HEADQUARTERS,"Confused, Joyce looks around."
349,Joyce,Sandra! You touched a memory?! We talked about this.,HEADQUARTERS,"She spots Sandra, who is guiltily touching the memory."
350,Sandra,"Oh yeah, I know. I'm sorry.",HEADQUARTERS,"She spots Sandra, who is guiltily touching the memory."
351,Joyce,Get back in your circle. (trying to eject memory) Gnnh! What's going on? Why won't it eject?!!,HEADQUARTERS,"She spots Sandra, who is guiltily touching the memory."
352,Felipe,"Get it out of there, Joyce!",HEADQUARTERS,"She fiddles with the console, but the blue memory won't move."
353,RILEY,(sniffling) We used to play tag and stuff...,CLASSROOM,"She fiddles with the console, but the blue memory won't move."
354,Diane,Cool kids whispering at 3 o'clock!,HEADQUARTERS,"She fiddles with the console, but the blue memory won't move."
355,Felipe,Did you see that look?!? They're judging us!,HEADQUARTERS,The other kids whisper and stare.
356,Joyce,Oh no.,HEADQUARTERS,The other kids whisper and stare.
357,Joyce,Somebody help me. Grab that... everybody...,HEADQUARTERS,"Joyce tries pulling the memory. Angelo, Felipe and Diane help."
358,RILEY,But everything's different now. Since we moved...,CLASSROOM,"They pull with all their might, but the memory's not budging."
359,Felipe,Oh no! We're CRYING AT SCHOOL!!!,HEADQUARTERS,TEARS stream down Riley's face.
360,Joyce,"What? No! Sandra, what are you doing?",HEADQUARTERS,Joyce turns to the console. Sandra IS DRIVING.
361,Sandra,"Oh no, I'm sorry... I... oh...",HEADQUARTERS,Joyce finally yanks the memory out. She runs to the console and pulls Sandra away from the controls.
362,Joyce,Huh?,HEADQUARTERS,PING! A memory is created. BRIGHT BLUE.
363,Angelo,Whoa!,HEADQUARTERS,PING! A memory is created. BRIGHT BLUE.
364,Felipe,It's a core memory!,HEADQUARTERS,PING! A memory is created. BRIGHT BLUE.
365,Diane,But it's blue!,HEADQUARTERS,PING! A memory is created. BRIGHT BLUE.
366,Joyce,No wait... stop it! No! Ahh!,HEADQUARTERS,The bright blue core memory rolls through the memory shelf and STARTS TOWARDS THE CORE MEMORY HOLDER!
367,Sandra,"(trying to take her memory back from Joyce) Joyce, no. That's a core memory, Joyce!",HEADQUARTERS,"Joyce leaps to the holder and pops it open, preventing the new blue core memory from going in. Joyce grabs it. She pushes the end-of-day memory flush button. The tube comes down from the ceiling."
368,Joyce,Hey! Stop it. Let go.,HEADQUARTERS,"Joyce leaps to the holder and pops it open, preventing the new blue core memory from going in. Joyce grabs it. She pushes the end-of-day memory flush button. The tube comes down from the ceiling."
369,Felipe,Ahh!,HEADQUARTERS,"As they struggle, they bump into the Core Memory Holder, KNOCKING ALL OF THE CORE MEMORIES OUT onto the floor."
370,Diane,Ahh!,HEADQUARTERS,"As they struggle, they bump into the Core Memory Holder, KNOCKING ALL OF THE CORE MEMORIES OUT onto the floor."
371,Angelo,Ahh!,HEADQUARTERS,"As they struggle, they bump into the Core Memory Holder, KNOCKING ALL OF THE CORE MEMORIES OUT onto the floor."
372,Felipe,The core memories!,HEADQUARTERS,"As they struggle, they bump into the Core Memory Holder, KNOCKING ALL OF THE CORE MEMORIES OUT onto the floor."
373,Joyce,Ahh!,HEADQUARTERS,"Riley, her face tear-stained, looks up."
374,Joyce,"No, no, no, no!",HEADQUARTERS,"Joyce tosses the blue core memory aside to collect the yellow core memories. Sandra grabs the blue core memory and heads to the Core Memory Holder to plug it in. Joyce lunges, knocking the blue core memory out of Sandra's hands. It's SUCKED UP the vacuum tube. Joyce trips backward. In the chaos a yellow core memory rolls toward the tube."
375,TEACHER,"Thank you, Riley. I know it can be tough moving to a new place, but we're happy to have you here. Alright everyone, get out your history books and turn to chapter seven.",CLASSROOM,Riley sits and wipes her tears.
376,Angelo,Can I say that curse word now?,HEADQUARTERS,Riley hides behind her book.
377,Joyce,"Oh no... (gathering memories) One, two, three... okay, got 'em. Wha-- where are we?",LONG-TERM MEMORY,Joyce lands in a bin of memories. Sandra crashes next to her.
378,Joyce,Long-Term Memory...!,LONG-TERM MEMORY,Joyce takes in the shelving around her.
379,Joyce,Goofball Island.,LONG-TERM MEMORY,"Joyce grabs the core memories and jumps out of the dumpster. She sees GOOFBALL ISLAND, silent and dark."
380,Sandra,Hoh... Riley's Islands of Personality. They're ALL down! This is bad.,LONG-TERM MEMORY,Joyce surveys the islands beyond. They're all dark.
381,Joyce,"We-- we can fix this. We just have to get back to Headquarters, plug the core memories in, and Riley will be back to normal.",LONG-TERM MEMORY,Joyce surveys the islands beyond. They're all dark.
382,Sandra,"Riley has no core memories, no personality islands and no-- (gasp)",LONG-TERM MEMORY,Joyce and Sandra hurry towards headquarters.
383,Joyce,Wha-- What is it?,LONG-TERM MEMORY,Joyce and Sandra hurry towards headquarters.
384,Sandra,"You! YOU'RE not in headquarters. Without you, Riley can't be happy. We gotta get you back up there.",LONG-TERM MEMORY,Joyce and Sandra hurry towards headquarters.
385,Joyce,"I'm coming, Riley.",LONG-TERM MEMORY,Joyce and Sandra hurry towards headquarters.
386,MOM,"So as it turns out the green trash can is not recycling, it's for greens. Like compost. And eggshells.",SAN FRANCISCO HOUSE,Riley and her parents eat dinner.
387,DAD,(not really listening) Mmm.,SAN FRANCISCO HOUSE,Riley and her parents eat dinner.
388,MOM,And the blue one is recycling. And the black one is trash.,SAN FRANCISCO HOUSE,Riley and her parents eat dinner.
389,Diane,Riley is acting so weird. Why is she acting so weird?,HEADQUARTERS,Riley pushes food around on her plate.
390,Angelo,What do you expect? All the islands are down.,HEADQUARTERS,Riley pushes food around on her plate.
391,Diane,Joyce would know what to do.,HEADQUARTERS,Riley pushes food around on her plate.
392,Felipe,"That's it! Until she gets back, we just do what Joyce would do!",HEADQUARTERS,Riley pushes food around on her plate.
393,Diane,"Great idea! Angelo, Felipe, Diane. How are WE supposed to be happy?",HEADQUARTERS,Riley pushes food around on her plate.
394,MOM,"Hey, Riley. I've got good news!",HEADQUARTERS,Riley pushes food around on her plate.
395,MOM,"I found a junior hockey league right here in San Francisco. And get this: try-outs are tomorrow after school. What luck, right?",SAN FRANCISCO HOUSE,Riley pushes food around on her plate.
396,Angelo,Hockey?,HEADQUARTERS,Riley pushes food around on her plate.
397,Diane,Uh-oh. What do we do?,HEADQUARTERS,Riley pushes food around on her plate.
398,Felipe,"Guys, uh, this... Here, you pretend to be Joyce.",HEADQUARTERS,Riley pushes food around on her plate.
399,MOM,Won't it be great to be back out on the ice?,ON THE SCREEN:,Felipe pushes Diane forward. She steps up to drive.
400,RILEY,"(sarcastic) Oh yeah, that sounds fantastic.",SAN FRANCISCO HOUSE,Felipe pushes Diane forward. She steps up to drive.
401,Felipe,What was that? That wasn't anything like Joyce.,HEADQUARTERS,Felipe pushes Diane forward. She steps up to drive.
402,Diane,"Uh, because I'm NOT Joyce.",HEADQUARTERS,Felipe pushes Diane forward. She steps up to drive.
403,Felipe,"Yeah, no kidding.",HEADQUARTERS,Felipe pushes Diane forward. She steps up to drive.
404,MOM'S Sandra,Did you guys pick up on that?,MOM'S HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head..."
405,MOM'S Angelo,Uh-huh.,MOM'S HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head..."
406,MOM'S Joyce,Oh yeah/Definitely.,MOM'S HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head..."
407,MOM'S Felipe,Oh yeah/Definitely.,MOM'S HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head..."
408,MOM'S Diane,Oh yeah/Definitely.,MOM'S HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head..."
409,MOM'S Diane,Something's wrong.,MOM'S HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head..."
410,MOM'S Angelo,Should we ask her?,MOM'S HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head..."
411,MOM'S Sandra,"Let's probe. But keep it subtle, so she doesn't notice.",MOM'S HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head..."
412,MOM,So! How was the first day of school?,SAN FRANCISCO HOUSE,"Mom, taken aback, eyes Riley. Zoom in to Mom's head..."
413,Angelo,She's probing us.,HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head..."
414,Diane,I'm done. (to Felipe) YOU pretend to be Joyce.,HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head..."
415,Felipe,What? Uh... okay... hmm.,HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head..."
416,RILEY,"(nervous) It was fine, I guess, I don't know.",SAN FRANCISCO HOUSE,"Mom, taken aback, eyes Riley. Zoom in to Mom's head..."
417,Diane,"Oh, very smooth, that was JUST like Joyce.",HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head..."
418,MOM'S Angelo,Something's definitely going on.,MOM'S HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head..."
419,MOM'S Diane,She's never acted like this before. What should we do?,MOM'S HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head..."
420,MOM'S Sandra,We're going to find out what's happening. But we'll need support. Signal the husband.,MOM'S HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head..."
421,SPORTS ANNOUNCER,"...with a nice pass over to Reeves, he comes across center ice...",DAD'S HEADQUARTERS,"All of Dad's emotions are watching a HOCKEY MATCH, cheering."
422,DAD'S Angelo,Uh-oh. She's looking at us. (turns off the memory) What did she say?,DAD'S HEADQUARTERS,"Again Mom stares, clears her throat. Dad looks up, clueless."
423,DAD'S Felipe,"What? Uh, sorry, Sir. No one was listening.",DAD'S HEADQUARTERS,"Again Mom stares, clears her throat. Dad looks up, clueless."
424,DAD'S Angelo,"Is it garbage night? We left the toilet seat up? What? What is it, woman, what?!?",DAD'S HEADQUARTERS,"Again Mom stares, clears her throat. Dad looks up, clueless."
425,MOM'S Diane,(re: Dad on the screen) He's making that stupid face again.,MOM'S HEADQUARTERS,"Again Mom stares, clears her throat. Dad looks up, clueless."
426,MOM'S Angelo,I could strangle him right now!,MOM'S HEADQUARTERS,"Again Mom stares, clears her throat. Dad looks up, clueless."
427,MOM'S Sandra,Signal him again.,MOM'S HEADQUARTERS,"Again Mom stares, clears her throat. Dad looks up, clueless."
428,DAD,"Ahh, so, Riley! How was school?",SAN FRANCISCO HOUSE,Mom raises her eyebrows and tilts her head towards Riley. Dad finally gets it.
429,MOM'S Joyce,You gotta be kidding me!/He really needs to start paying attention./ Is he paying attention at all?,MOM'S HEADQUARTERS,Mom's Emotions give up.
430,MOM'S Sandra,You gotta be kidding me!/He really needs to start paying attention./ Is he paying attention at all?,MOM'S HEADQUARTERS,Mom's Emotions give up.
431,MOM'S Felipe,You gotta be kidding me!/He really needs to start paying attention./ Is he paying attention at all?,MOM'S HEADQUARTERS,Mom's Emotions give up.
432,MOM'S Diane,You gotta be kidding me!/He really needs to start paying attention./ Is he paying attention at all?,MOM'S HEADQUARTERS,Mom's Emotions give up.
433,MOM'S Angelo,For THIS we gave up that Brazilian helicopter pilot?,MOM'S HEADQUARTERS,Mom's Emotions give up.
434,Angelo,Move! I'LL be Joyce.,HEADQUARTERS,Mom's Emotions give up.
435,RILEY,"(snarky) School was great, alright?",SAN FRANCISCO HOUSE,Mom's Emotions give up.
436,MOM,"Riley, is everything okay?",SAN FRANCISCO HOUSE,Mom's Emotions give up.
437,DAD'S Felipe,"Sir, she just rolled her eyes at us.",DAD'S HEADQUARTERS,Riley rolls her eyes.
438,DAD'S Angelo,"What is her deal? Alright, make a show of force. I don't want to have to put the Foot down.",DAD'S HEADQUARTERS,Riley rolls her eyes.
439,DAD'S Felipe,No. Not the Foot.,DAD'S HEADQUARTERS,Riley rolls her eyes.
440,DAD,"Riley, I do NOT like this new attitude.",SAN FRANCISCO HOUSE,Riley rolls her eyes.
441,Angelo,"Oh I'll show you attitude, old man.",HEADQUARTERS,Riley rolls her eyes.
442,Felipe,"No, no, no! Stay happy!",HEADQUARTERS,Riley rolls her eyes.
443,RILEY,What is your problem? Just leave me alone.,SAN FRANCISCO HOUSE,Angelo shoves him away and hits a button.
444,DAD'S Felipe,Sir! Reporting high levels of sass!,DAD'S HEADQUARTERS,Angelo shoves him away and hits a button.
445,DAD'S Angelo,Take it to DEFCON 2.,DAD'S HEADQUARTERS,Angelo shoves him away and hits a button.
446,DAD'S Felipe,"You heard that, gentleman. DEFCON 2.",DAD'S HEADQUARTERS,Sirens begin to BLARE.
447,DAD,"Listen young lady, I don't know where this disrespectful attitude came from...",SAN FRANCISCO HOUSE,Sirens begin to BLARE.
448,Angelo,"You want a piece of this, Pops? Come and get it!",HEADQUARTERS,Sirens begin to BLARE.
449,RILEY,"Yeah, well... well...",SAN FRANCISCO HOUSE,Angelo grasps two levers with all his might.
