time,character,quote,location,description
222,JOY,That's good! Like there's the beach and sunshine... Oh! Like that time we buried Dad in the sand up to his neck?,INT. HEADQUARTERS,"INSERT: Riley spitting milk out of her nose, Meg laughing."
223,SADNESS,I was thinking more like rain.,INT. HEADQUARTERS,"INSERT: Riley at beach, Dad buried in sand."
224,JOY,Rain? Rain... is my favorite too! We can stomp around in puddles...,INT. HEADQUARTERS,INSERT: Riley stands in a downpour.
225,JOY,"There's cool umbrellas, lightning storms...",INT. HEADQUARTERS,INSERT: Riley happily jumps through puddles.
226,SADNESS,More like when the rain runs down our back and makes our shoes soggy. And we get all cold and shivery...,INT. HEADQUARTERS,INSERT: Riley happily jumps through puddles.
227,SADNESS,...and everything just starts feeling droopy...,INT. HEADQUARTERS,INSERT: Riley's shoes fill with water. She looks miserable.
228,JOY,"Oh, hey, hey... easy. Why are you crying? That's really the opposite of what we're going for here.",INT. HEADQUARTERS,"Sadness melts to the floor, crying."
229,SADNESS,Crying helps me slow down and obsess over the weight of life's problems.,INT. HEADQUARTERS,"Sadness melts to the floor, crying."
230,JOY,"Ugh, you know what? Let's think about something else. How about we read some mind manuals, huh? Sounds fun!",INT. HEADQUARTERS,"Sadness melts to the floor, crying."
231,SADNESS,I've read most of them.,INT. HEADQUARTERS,She drags Sadness over to a shelf of technical manuals.
232,JOY,"Well have you read this one? This seems interesting: Long-Term Memory Retrieval, Volume 47?",INT. HEADQUARTERS,She drags Sadness over to a shelf of technical manuals.
233,SADNESS,No.,INT. HEADQUARTERS,She drags Sadness over to a shelf of technical manuals.
234,JOY,Ohhh! A real page turner!,INT. HEADQUARTERS,She drags Sadness over to a shelf of technical manuals.
235,SADNESS,(opens manual; reads) Long-Term Memory Data Selection via channel sub-grouping?,INT. HEADQUARTERS,She drags Sadness over to a shelf of technical manuals.
236,JOY,"See? Fun already! You lucky dog, you're reading these cool things and I gotta go work. Life is so unfair.",INT. HEADQUARTERS,She drags Sadness over to a shelf of technical manuals.
237,DAD,"(on phone) What can we do? We've only got capital to last a month, maybe two. If we can't find investors by then, we're going to have to lay people off.",INT. SAN FRANCISCO HOUSE - NIGHT,Riley hops down the stairs towards the living room.
238,RILEY,Mom! Dad! Come kiss me g'night!,INT. SAN FRANCISCO HOUSE - NIGHT,Riley hears the stress in Dad's voice.
239,MOM,Be right there!,INT. SAN FRANCISCO HOUSE - NIGHT,Riley hears the stress in Dad's voice.
240,DAD,"(on phone) I know, I know! We've got to land this, okay?",INT. SAN FRANCISCO HOUSE - NIGHT,Riley hears the stress in Dad's voice.
241,FEAR,Did you hear Dad? He sounded really upset.,INT. HEADQUARTERS,Riley climbs into her sleeping bag.
242,FEAR,What was that? Was it a bear? It's a bear!,INT. HEADQUARTERS,STRANGE NOISES from outside. Headlights cast shadows on the wall. Riley looks scared.
243,DISGUST,There are no bears in San Francisco!,INT. HEADQUARTERS,STRANGE NOISES from outside. Headlights cast shadows on the wall. Riley looks scared.
244,ANGER,I saw a really hairy guy. He looked like a bear.,INT. HEADQUARTERS,STRANGE NOISES from outside. Headlights cast shadows on the wall. Riley looks scared.
245,FEAR,"Oh, I'm so jumpy, my nerves are shot!",INT. HEADQUARTERS,STRANGE NOISES from outside. Headlights cast shadows on the wall. Riley looks scared.
246,DISGUST,"Ew, I don't want to hear about your nerves!",INT. HEADQUARTERS,STRANGE NOISES from outside. Headlights cast shadows on the wall. Riley looks scared.
247,ANGER,I'll tell you what it is. This move has been a bust.,INT. HEADQUARTERS,STRANGE NOISES from outside. Headlights cast shadows on the wall. Riley looks scared.
248,FEAR,That's what I've been telling you guys! There are at least 37 things for Riley to be scared of right now!,INT. HEADQUARTERS,STRANGE NOISES from outside. Headlights cast shadows on the wall. Riley looks scared.
249,DISGUST,The smell alone is enough to make her gag.,INT. HEADQUARTERS,STRANGE NOISES from outside. Headlights cast shadows on the wall. Riley looks scared.
250,ANGER,I can't believe Mom and Dad moved us here!,INT. HEADQUARTERS,STRANGE NOISES from outside. Headlights cast shadows on the wall. Riley looks scared.
251,JOY,"Look, I get it. You guys have concerns. But we've been through worse! Tell you what: let's make a list of all the things Riley should be HAPPY about!",INT. HEADQUARTERS,STRANGE NOISES from outside. Headlights cast shadows on the wall. Riley looks scared.
252,ANGER,"Fine. Let's see... this house stinks, our room stinks...",INT. HEADQUARTERS,STRANGE NOISES from outside. Headlights cast shadows on the wall. Riley looks scared.
253,DISGUST,Pizza is weird here...,INT. HEADQUARTERS,STRANGE NOISES from outside. Headlights cast shadows on the wall. Riley looks scared.
254,SADNESS,Our friends are back home...,INT. HEADQUARTERS,STRANGE NOISES from outside. Headlights cast shadows on the wall. Riley looks scared.
255,FEAR,And all of our stuff is in the missing van!,INT. HEADQUARTERS,STRANGE NOISES from outside. Headlights cast shadows on the wall. Riley looks scared.
256,JOY,"Oh c'mon, it could be worse...",INT. HEADQUARTERS,STRANGE NOISES from outside. Headlights cast shadows on the wall. Riley looks scared.
257,DISGUST,"Yeah, Joy. We could be lying on the dirty floor. In a bag.",INT. HEADQUARTERS,STRANGE NOISES from outside. Headlights cast shadows on the wall. Riley looks scared.
258,JOY,"Okay, I admit it, we had a rough start. But think of all the good things that--",INT. HEADQUARTERS,Riley is lying on the dirty floor in a sleeping bag.
259,ANGER,"No, Joy. There's absolutely no reason for Riley to be happy right now. Let us handle this.",INT. HEADQUARTERS,Riley is lying on the dirty floor in a sleeping bag.
260,FEAR,I say we skip school tomorrow and lock ourselves in the bedroom.,INT. HEADQUARTERS,Riley is lying on the dirty floor in a sleeping bag.
261,DISGUST,"We have no clean clothes. I mean, no one should see us.",INT. HEADQUARTERS,Riley is lying on the dirty floor in a sleeping bag.
262,SADNESS,"Yeah, we could cry until we can't breathe.",INT. HEADQUARTERS,Riley is lying on the dirty floor in a sleeping bag.
263,ANGER,We should lock the door and scream that curse word we know. It's a good one!,INT. HEADQUARTERS,Riley is lying on the dirty floor in a sleeping bag.
264,JOY,"Now hold on! Look, we all have our off days. You know, I--",INT. HEADQUARTERS,Riley is lying on the dirty floor in a sleeping bag.
265,MOM,Hi honey.,INT. HEADQUARTERS,ON THE SCREEN: Mom opens Riley's bedroom door.
266,ANGER,The Mom Bad News Train is pulling in! Toot toot!,INT. HEADQUARTERS,ON THE SCREEN: Mom opens Riley's bedroom door.
267,MOM,"Still no moving van. Now they're saying it won't be here 'til Tuesday, can you believe it?",INT. RILEY'S ROOM,Mom sits next to Riley.
268,ANGER,Toot toot toot!,INT. HEADQUARTERS,Mom sits next to Riley.
269,RILEY,Where's Dad?,INT. RILEY'S ROOM,Mom sits next to Riley.
270,MOM,"On the phone. This new venture is keeping him pretty busy. Your dad's a little stressed -- you know, about getting his new company up and running...",INT. RILEY'S ROOM,Mom sits next to Riley.
271,ANGER,I rest my case!,INT. HEADQUARTERS,Mom sits next to Riley.
272,ANGER,Now for a few well-placed withering scowls.,INT. HEADQUARTERS,Joy sighs. She falls back from the controls.  Anger steps up to the console.
273,MOM,I guess all I really want to say is: thank you.,INT. RILEY'S ROOM,Joy sighs. She falls back from the controls.  Anger steps up to the console.
274,ANGER,Huh?,INT. HEADQUARTERS,Joy sighs. She falls back from the controls.  Anger steps up to the console.
275,MOM,"You know, through all this confusion you've stayed... well, you've stayed our happy girl!",INT. RILEY'S ROOM,Anger drops the controls.
276,MOM,"Your dad's under a lot of pressure. But if you and I can keep smiling, it would be a big help. We can do that for him, right?",INT. RILEY'S ROOM,Mom brushes Riley's cheek.
277,JOY,Whoa! Well.,INT. HEADQUARTERS,"Joy, smiling with renewed purpose, steps back to the console."
278,RILEY,(smiles) Yeah! Sure.,INT. RILEY'S ROOM,"Joy, smiling with renewed purpose, steps back to the console."
279,MOM,What did we do to deserve you? (kisses Riley) Sweet dreams.,INT. RILEY'S ROOM,"Joy, smiling with renewed purpose, steps back to the console."
280,RILEY,Good night.,INT. RILEY'S ROOM,"Joy, smiling with renewed purpose, steps back to the console."
281,ANGER,"Well, you can't argue with Mom. Happy it is.",INT. HEADQUARTERS,"Joy, smiling with renewed purpose, steps back to the console."
282,FEAR,Team Happy!  Sounds great!,INT. HEADQUARTERS,"Joy, smiling with renewed purpose, steps back to the console."
283,DISGUST,"I'm totally behind you, Joy.",INT. HEADQUARTERS,"Joy, smiling with renewed purpose, steps back to the console."
284,JOY,"Looks like we're going into REM. I got Dream Duty, so I'll take care of sending these to Long Term. Great day today, guys! Sleep well TEAM HAPPY!",INT. HEADQUARTERS,The screen goes black.
285,JOY,"Alright, what's on tonight, Dream Production?",INT. HEADQUARTERS,The team heads off to bed. Harp music plays.
286,DAD,"Well, this is it. The new place.",INT. HEADQUARTERS,ON THE SCREEN: a DREAM COMES UP. The family FLIES happily through the air in the car. They land in front of the house--
287,MOUSE,"Come live with me, Riley!",INT. HEADQUARTERS,-- except it's haunted! Organ music. Ghosts howling. The dead mouse rises up into frame.
288,PIZZA BEAR,Somebody order a broccoli pizza?,INT. HEADQUARTERS,"The mouse falls over, dead. A bear enters, holding a pizza."
289,PIZZA SLICE,Eat me! I'm organic!,INT. HEADQUARTERS,The pizza slices hop up and dance a jig.
290,JOY,"Ah, NO, who is in charge of programming down there?! I know I'm not supposed to do this, but...",INT. HEADQUARTERS,Riley frowns in her sleep.
291,JOY,We are not going to end the day like this.,INT. HEADQUARTERS,Riley still looks troubled.
292,JOY,Don't you worry. I'm gonna make sure that tomorrow is another great day. I promise.,INT. HEADQUARTERS,"Joy has a thought.  She recalls a memory. ON THE SCREEN: Riley ice skates with her parents. Joy watches, loving this kid. She shadows Riley, skating around headquarters."
293,JOY,Hello! Did I wake you?,INT. HEADQUARTERS - MORNING,"Joy plays the accordion around Headquarters. The others appear, looking grumpy. Joy yells over the noise."
294,ANGER,DO you have to play that?,INT. HEADQUARTERS - MORNING,"Joy plays the accordion around Headquarters. The others appear, looking grumpy. Joy yells over the noise."
295,JOY,"Well, I have to practice. And I don't think of it as playing so much as hugging.",INT. HEADQUARTERS - MORNING,"Joy plays the accordion around Headquarters. The others appear, looking grumpy. Joy yells over the noise."
296,JOY,"Okay, first day of school! Very, very exciting! I was up late last night figuring out a new plan. Here it is. (to Fear) Fear! I need a list of all the possible negative outcomes on the first day at a new school.",INT. HEADQUARTERS - MORNING,She tosses aside the accordion and runs off.
297,FEAR,Way ahead of you there. Does anyone know how to spell meteor?,INT. HEADQUARTERS - MORNING,She tosses aside the accordion and runs off.
298,JOY,Disgust! Make sure Riley stands out today... but also blends in.,INT. HEADQUARTERS - MORNING,She tosses aside the accordion and runs off.
299,DISGUST,"When I'm through, Riley will look so good the other kids will look at their own outfits and barf.",INT. HEADQUARTERS - MORNING,She tosses aside the accordion and runs off.
300,JOY,"(addressing herself) Joy! Yes Joy? You'll be in charge of the console, keeping Riley happy all day long. And may I add I love your dress, it's adorable. Oh, This ol' thing? Thank you so much, I love the way it twirls...",INT. HEADQUARTERS - MORNING,She tosses aside the accordion and runs off.
301,JOY,Train of Thought! Right on schedule.,INT. HEADQUARTERS - MORNING,TOOT TOOT! A TRAIN rushes by outside.
302,JOY,Anger! Unload the daydreams. I ordered extra in case things get slow in class.,INT. HEADQUARTERS - MORNING,The engineer waves from the cab and drops off a large bag.
303,ANGER,"Might come in handy, if this new school is full of boring useless classes, which it probably will be...",INT. HEADQUARTERS - MORNING,The engineer waves from the cab and drops off a large bag.
304,JOY,Oh - Sadness! I have a super important job just for you.,INT. HEADQUARTERS - MORNING,Sadness walks by. Joy stops her.
305,SADNESS,Really?,INT. HEADQUARTERS - MORNING,Sadness walks by. Joy stops her.
306,JOY,Mmm-hmmm. Follow me.,INT. HEADQUARTERS - MORNING,Sadness walks by. Joy stops her.
307,SADNESS,What are you doing?,THE BACK OF THE ROOM,Joy draws a chalk circle on the floor around Sadness's feet.
308,JOY,(finishing the circle) And... there. Perfect. This is the circle of Sadness. Your job is to make sure that all the Sadness stays inside of it.,THE BACK OF THE ROOM,Joy draws a chalk circle on the floor around Sadness's feet.
309,SADNESS,So... you want me to just stand here?,THE BACK OF THE ROOM,Joy draws a chalk circle on the floor around Sadness's feet.
310,JOY,"Hey, it's not MY place to tell you how to do your job. Just make sure-- (nudging Sadness' foot back over the line) --ALL the Sadness stays in the circle.",THE BACK OF THE ROOM,Joy draws a chalk circle on the floor around Sadness's feet.
311,JOY,See? You're a pro at this! Isn't this fun?!,THE BACK OF THE ROOM,Sadness stands there.
312,SADNESS,No.,THE BACK OF THE ROOM,Sadness stands there.
313,JOY,"(heading to the console) Atta girl. Alright everyone, fresh start! We are gonna to have a good day, which will turn into a good week, which will turn into a good year, which turns into a good LIFE!",THE BACK OF THE ROOM,Sadness stands there.
314,MOM,"So, the big day! New school, new friends, huh?",INT. SAN FRANCISCO HOUSE - MORNING,Mom helps Riley on with her backpack. Dad is on the phone.
315,RILEY,"I know! I'm kinda nervous, but I'm mostly excited! How do I look? Do you like my shirt?",INT. SAN FRANCISCO HOUSE - MORNING,Mom helps Riley on with her backpack. Dad is on the phone.
316,MOM,Very cute! You gonna be okay? You want us to walk with you?,INT. SAN FRANCISCO HOUSE,"Joy looks back at Family Island, working away."
317,DISGUST,Mom and Dad? With us in public? No thank you.,INT. HEADQUARTERS,"Joy looks back at Family Island, working away."
318,JOY,(operating console) I'm on it.,INT. HEADQUARTERS,"Joy looks back at Family Island, working away."
319,RILEY,"Nope, I'm fine. Bye Mom! Bye Dad!",INT. SAN FRANCISCO HOUSE,"Joy looks back at Family Island, working away."
320,DAD,"(covering phone) Have a good day at school, Monkey!",INT. SAN FRANCISCO HOUSE,"Joy looks back at Family Island, working away."
321,MOM,"Have a great day, sweetheart.",INT. SAN FRANCISCO HOUSE,Riley giggles as she exits.
322,FEAR,Are you sure we want to do this?,EXT. SCHOOL - MORNING,Riley walks up to her new school. New kids everywhere. She hesitates.
323,JOY,In we go!,EXT. SCHOOL - MORNING,Riley walks up to her new school. New kids everywhere. She hesitates.
324,FEAR,Okayyy! Going in! Yes.,EXT. SCHOOL - MORNING,Riley walks up to her new school. New kids everywhere. She hesitates.
325,DISGUST,"Okay, we've got a group of cool girls at 2 o'clock.",INT. CLASSROOM - MORNING,Riley sits at her desk and looks at the other kids in class.
326,JOY,How do you know?,INT. HEADQUARTERS,Riley sits at her desk and looks at the other kids in class.
327,DISGUST,"Double ears pierced, infinity scarf...",INT. HEADQUARTERS,Riley sits at her desk and looks at the other kids in class.
328,JOY,Whoa. Is she wearing eye shadow?,INT. HEADQUARTERS,A group of makeup-wearing girls look back at Riley.
329,DISGUST,"Yeah, we want to be friends with them.",INT. HEADQUARTERS,A group of makeup-wearing girls look back at Riley.
330,JOY,Let's go talk to 'em!,INT. HEADQUARTERS,A group of makeup-wearing girls look back at Riley.
331,DISGUST,"Are you kidding?? We're not TALKING to them, we want them to like us.",INT. HEADQUARTERS,A group of makeup-wearing girls look back at Riley.
332,JOY,"Oh! (then) Wait, what?",INT. HEADQUARTERS,A group of makeup-wearing girls look back at Riley.
333,FEAR,"(drops a giant stack of paper on the console) Almost finished with the potential disasters. Worst scenario is either quicksand, spontaneous combustion, or getting called on by the teacher. So as long as none of those happen...",INT. HEADQUARTERS,A group of makeup-wearing girls look back at Riley.
334,TEACHER,"Okay, everybody. We have a new student in class today.",INT. CLASSROOM,A group of makeup-wearing girls look back at Riley.
335,FEAR,Are you kidding me?! Out of the gate? This is not happening!,INT. HEADQUARTERS,A group of makeup-wearing girls look back at Riley.
336,TEACHER,Riley would you like to tell us something about yourself?,INT. CLASSROOM,A group of makeup-wearing girls look back at Riley.
337,FEAR,Nooooooo! Pretend we can't speak English!,INT. HEADQUARTERS,A group of makeup-wearing girls look back at Riley.
338,JOY,Don't worry. I got this.,INT. HEADQUARTERS,A group of makeup-wearing girls look back at Riley.
339,RILEY,Uhh... okay. My name is Riley Andersen. I'm from Minnesota. And now I live here.,INT. CLASSROOM,Joy pushes a lever.
340,TEACHER,And how about Minnesota?... Can you tell us something about it? Well you certainly get a lot more snow than we do.,INT. CLASSROOM,Joy pushes a lever.
341,JOY,(laughs) She's hilarious!,INT. HEADQUARTERS,Joy pushes a lever.
342,RILEY,"Yeah, it gets pretty cold. The lake freezes over, and that's when we play hockey. I'm on a great team. We're called the Prairie Dogs. My friend Meg plays forward. My Dad's the coach. Pretty much everyone in my family skates.",INT. CLASSROOM,"Riley smiles, in spite of all the eyes on her."
343,RILEY,It's a kind of family tradition. We go out on the lake almost every weekend.,INT. CLASSROOM,"Riley watches the memory, smiling."
344,RILEY,"Or we did, 'til I moved away.",INT. CLASSROOM,"Riley's smile fades, her brow furrows."
345,FEAR,"Huh?/Hey, what gives?/What?",INT. HEADQUARTERS,"Confused, Joy looks around."
346,DISGUST,"Huh?/Hey, what gives?/What?",INT. HEADQUARTERS,"Confused, Joy looks around."
347,ANGER,"Huh?/Hey, what gives?/What?",INT. HEADQUARTERS,"Confused, Joy looks around."
348,JOY,Hey--,INT. HEADQUARTERS,"Confused, Joy looks around."
349,JOY,Sadness! You touched a memory?! We talked about this.,INT. HEADQUARTERS,"She spots Sadness, who is guiltily touching the memory."
350,SADNESS,"Oh yeah, I know. I'm sorry.",INT. HEADQUARTERS,"She spots Sadness, who is guiltily touching the memory."
351,JOY,Get back in your circle. (trying to eject memory) Gnnh! What's going on? Why won't it eject?!!,INT. HEADQUARTERS,"She spots Sadness, who is guiltily touching the memory."
352,FEAR,"Get it out of there, Joy!",INT. HEADQUARTERS,"She fiddles with the console, but the blue memory won't move."
353,RILEY,(sniffling) We used to play tag and stuff...,INT. CLASSROOM,"She fiddles with the console, but the blue memory won't move."
354,DISGUST,Cool kids whispering at 3 o'clock!,INT. HEADQUARTERS,"She fiddles with the console, but the blue memory won't move."
355,FEAR,Did you see that look?!? They're judging us!,INT. HEADQUARTERS,The other kids whisper and stare.
356,JOY,Oh no.,INT. HEADQUARTERS,The other kids whisper and stare.
357,JOY,Somebody help me. Grab that... everybody...,INT. HEADQUARTERS,"Joy tries pulling the memory. Anger, Fear and Disgust help."
358,RILEY,But everything's different now. Since we moved...,INT. CLASSROOM,"They pull with all their might, but the memory's not budging."
359,FEAR,Oh no! We're CRYING AT SCHOOL!!!,INT. HEADQUARTERS,TEARS stream down Riley's face.
360,JOY,"What? No! Sadness, what are you doing?",INT. HEADQUARTERS,Joy turns to the console. SADNESS IS DRIVING.
361,SADNESS,"Oh no, I'm sorry... I... oh...",INT. HEADQUARTERS,Joy finally yanks the memory out. She runs to the console and pulls Sadness away from the controls.
362,JOY,Huh?,INT. HEADQUARTERS,PING! A memory is created. BRIGHT BLUE.
363,ANGER,Whoa!,INT. HEADQUARTERS,PING! A memory is created. BRIGHT BLUE.
364,FEAR,It's a core memory!,INT. HEADQUARTERS,PING! A memory is created. BRIGHT BLUE.
365,DISGUST,But it's blue!,INT. HEADQUARTERS,PING! A memory is created. BRIGHT BLUE.
366,JOY,No wait... stop it! No! Ahh!,INT. HEADQUARTERS,The bright blue core memory rolls through the memory shelf and STARTS TOWARDS THE CORE MEMORY HOLDER!
367,SADNESS,"(trying to take her memory back from Joy) Joy, no. That's a core memory, Joy!",INT. HEADQUARTERS,"Joy leaps to the holder and pops it open, preventing the new blue core memory from going in. Joy grabs it. She pushes the end-of-day memory flush button. The tube comes down from the ceiling."
368,JOY,Hey! Stop it. Let go.,INT. HEADQUARTERS,"Joy leaps to the holder and pops it open, preventing the new blue core memory from going in. Joy grabs it. She pushes the end-of-day memory flush button. The tube comes down from the ceiling."
369,FEAR,Ahh!,INT. HEADQUARTERS,"As they struggle, they bump into the Core Memory Holder, KNOCKING ALL OF THE CORE MEMORIES OUT onto the floor."
370,DISGUST,Ahh!,INT. HEADQUARTERS,"As they struggle, they bump into the Core Memory Holder, KNOCKING ALL OF THE CORE MEMORIES OUT onto the floor."
371,ANGER,Ahh!,INT. HEADQUARTERS,"As they struggle, they bump into the Core Memory Holder, KNOCKING ALL OF THE CORE MEMORIES OUT onto the floor."
372,FEAR,The core memories!,INT. HEADQUARTERS,"As they struggle, they bump into the Core Memory Holder, KNOCKING ALL OF THE CORE MEMORIES OUT onto the floor."
373,JOY,Ahh!,INT. HEADQUARTERS,"Riley, her face tear-stained, looks up."
374,JOY,"No, no, no, no!",INT. HEADQUARTERS,"Joy tosses the blue core memory aside to collect the yellow core memories. Sadness grabs the blue core memory and heads to the Core Memory Holder to plug it in. Joy lunges, knocking the blue core memory out of Sadness's hands. It's SUCKED UP the vacuum tube. Joy trips backward. In the chaos a yellow core memory rolls toward the tube."
375,TEACHER,"Thank you, Riley. I know it can be tough moving to a new place, but we're happy to have you here. Alright everyone, get out your history books and turn to chapter seven.",INT. CLASSROOM,Riley sits and wipes her tears.
376,ANGER,Can I say that curse word now?,INT. HEADQUARTERS,Riley hides behind her book.
377,JOY,"Oh no... (gathering memories) One, two, three... okay, got 'em. Wha-- where are we?",EXT. LONG-TERM MEMORY CLIFF EDGE,Joy lands in a bin of memories. Sadness crashes next to her.
378,JOY,Long-Term Memory...!,EXT. LONG-TERM MEMORY CLIFF EDGE,Joy takes in the shelving around her.
379,JOY,Goofball Island.,EXT. LONG-TERM MEMORY CLIFF EDGE,"Joy grabs the core memories and jumps out of the dumpster. She sees GOOFBALL ISLAND, silent and dark."
380,SADNESS,Hoh... Riley's Islands of Personality. They're ALL down! This is bad.,EXT. LONG-TERM MEMORY CLIFF EDGE,Joy surveys the islands beyond. They're all dark.
381,JOY,"We-- we can fix this. We just have to get back to Headquarters, plug the core memories in, and Riley will be back to normal.",EXT. LONG-TERM MEMORY CLIFF EDGE,Joy surveys the islands beyond. They're all dark.
382,SADNESS,"Riley has no core memories, no personality islands and no-- (gasp)",EXT. LONG-TERM MEMORY CLIFF EDGE,Joy and Sadness hurry towards headquarters.
383,JOY,Wha-- What is it?,EXT. LONG-TERM MEMORY CLIFF EDGE,Joy and Sadness hurry towards headquarters.
384,SADNESS,"You! YOU'RE not in headquarters. Without you, Riley can't be happy. We gotta get you back up there.",EXT. LONG-TERM MEMORY CLIFF EDGE,Joy and Sadness hurry towards headquarters.
385,JOY,"I'm coming, Riley.",EXT. LONG-TERM MEMORY CLIFF EDGE,Joy and Sadness hurry towards headquarters.
386,MOM,"So as it turns out the green trash can is not recycling, it's for greens. Like compost. And eggshells.",INT. KITCHEN TABLE - EVENING,Riley and her parents eat dinner.
387,DAD,(not really listening) Mmm.,INT. KITCHEN TABLE - EVENING,Riley and her parents eat dinner.
388,MOM,And the blue one is recycling. And the black one is trash.,INT. KITCHEN TABLE - EVENING,Riley and her parents eat dinner.
389,DISGUST,Riley is acting so weird. Why is she acting so weird?,INT. HEADQUARTERS,Riley pushes food around on her plate.
390,ANGER,What do you expect? All the islands are down.,INT. HEADQUARTERS,Riley pushes food around on her plate.
391,DISGUST,Joy would know what to do.,INT. HEADQUARTERS,Riley pushes food around on her plate.
392,FEAR,"That's it! Until she gets back, we just do what Joy would do!",INT. HEADQUARTERS,Riley pushes food around on her plate.
393,DISGUST,"Great idea! Anger, Fear, Disgust. How are WE supposed to be happy?",INT. HEADQUARTERS,Riley pushes food around on her plate.
394,MOM,"Hey, Riley. I've got good news!",INT. HEADQUARTERS,Riley pushes food around on her plate.
395,MOM,"I found a junior hockey league right here in San Francisco. And get this: try-outs are tomorrow after school. What luck, right?",INT. KITCHEN TABLE,Riley pushes food around on her plate.
396,ANGER,Hockey?,INT. HEADQUARTERS,Riley pushes food around on her plate.
397,DISGUST,Uh-oh. What do we do?,INT. HEADQUARTERS,Riley pushes food around on her plate.
398,FEAR,"Guys, uh, this... Here, you pretend to be Joy.",INT. HEADQUARTERS,Riley pushes food around on her plate.
399,MOM,Won't it be great to be back out on the ice?,ON THE SCREEN:,Fear pushes Disgust forward. She steps up to drive.
400,RILEY,"(sarcastic) Oh yeah, that sounds fantastic.",INT. KITCHEN DINING TABLE,Fear pushes Disgust forward. She steps up to drive.
401,FEAR,What was that? That wasn't anything like Joy.,INT. HEADQUARTERS,Fear pushes Disgust forward. She steps up to drive.
402,DISGUST,"Uh, because I'm NOT Joy.",INT. HEADQUARTERS,Fear pushes Disgust forward. She steps up to drive.
403,FEAR,"Yeah, no kidding.",INT. HEADQUARTERS,Fear pushes Disgust forward. She steps up to drive.
404,MOM'S SADNESS,Did you guys pick up on that?,INT. MOM'S HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head..."
405,MOM'S ANGER,Uh-huh.,INT. MOM'S HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head..."
406,MOM'S JOY,Oh yeah/Definitely.,INT. MOM'S HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head..."
407,MOM'S FEAR,Oh yeah/Definitely.,INT. MOM'S HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head..."
408,MOM'S DISGUST,Oh yeah/Definitely.,INT. MOM'S HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head..."
409,MOM'S DISGUST,Something's wrong.,INT. MOM'S HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head..."
410,MOM'S ANGER,Should we ask her?,INT. MOM'S HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head..."
411,MOM'S SADNESS,"Let's probe. But keep it subtle, so she doesn't notice.",INT. MOM'S HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head..."
412,MOM,So! How was the first day of school?,INT. KITCHEN TABLE,"Mom, taken aback, eyes Riley. Zoom in to Mom's head..."
413,ANGER,She's probing us.,INT. RILEY'S HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head..."
414,DISGUST,I'm done. (to Fear) YOU pretend to be Joy.,INT. RILEY'S HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head..."
415,FEAR,What? Uh... okay... hmm.,INT. RILEY'S HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head..."
416,RILEY,"(nervous) It was fine, I guess, I don't know.",INT. KITCHEN TABLE,"Mom, taken aback, eyes Riley. Zoom in to Mom's head..."
417,DISGUST,"Oh, very smooth, that was JUST like Joy.",INT. RILEY'S HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head..."
418,MOM'S ANGER,Something's definitely going on.,INT. MOM'S HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head..."
419,MOM'S DISGUST,She's never acted like this before. What should we do?,INT. MOM'S HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head..."
420,MOM'S SADNESS,We're going to find out what's happening. But we'll need support. Signal the husband.,INT. MOM'S HEADQUARTERS,"Mom, taken aback, eyes Riley. Zoom in to Mom's head..."
421,SPORTS ANNOUNCER,"...with a nice pass over to Reeves, he comes across center ice...",INT. DAD'S HEADQUARTERS,"All of Dad's emotions are watching a HOCKEY MATCH, cheering."
422,DAD'S ANGER,Uh-oh. She's looking at us. (turns off the memory) What did she say?,INT. DAD'S HEADQUARTERS,"Again Mom stares, clears her throat. Dad looks up, clueless."
423,DAD'S FEAR,"What? Uh, sorry, Sir. No one was listening.",INT. DAD'S HEADQUARTERS,"Again Mom stares, clears her throat. Dad looks up, clueless."
424,DAD'S ANGER,"Is it garbage night? We left the toilet seat up? What? What is it, woman, what?!?",INT. DAD'S HEADQUARTERS,"Again Mom stares, clears her throat. Dad looks up, clueless."
425,MOM'S DISGUST,(re: Dad on the screen) He's making that stupid face again.,INT. MOM'S HEADQUARTERS,"Again Mom stares, clears her throat. Dad looks up, clueless."
426,MOM'S ANGER,I could strangle him right now!,INT. MOM'S HEADQUARTERS,"Again Mom stares, clears her throat. Dad looks up, clueless."
427,MOM'S SADNESS,Signal him again.,INT. MOM'S HEADQUARTERS,"Again Mom stares, clears her throat. Dad looks up, clueless."
